,comparison,k,direct,nma,indirect,p-value
75,clomipramine:vortioxetine,0,,0.6382937048,0.6382937048,
76,duloxetine:escitalopram,2,0.6929763519000001,0.8457136980000001,0.9401410961000001,0.2361206663
77,duloxetine:fluoxetine,0,,1.1333536204999999,1.1333536204999999,
78,duloxetine:fluvoxamine,0,,1.1465863747,1.1465863747,
79,duloxetine:milnacipran,0,,1.0082750738,1.0082750738,
80,duloxetine:mirtazapine,0,,0.9438696997,0.9438696997,
81,duloxetine:nefazodone,0,,1.2639943235,1.2639943235,
82,duloxetine:paroxetine,2,1.034889242,0.9548155397,0.9142942831,0.6025833932
83,duloxetine:reboxetine,0,,1.3078895594,1.3078895594,
84,duloxetine:sertraline,0,,1.0210416405,1.0210416405,
85,duloxetine:trazodone,0,,1.3176911941,1.3176911941,
86,duloxetine:venlafaxine,2,0.8993768095,0.9702894196,1.0151102133,0.6078611967
87,duloxetine:vortioxetine,0,,0.6957705954000001,0.6957705954000001,
88,fluoxetine:escitalopram,2,1.0206377037,0.7462046115000001,0.7044317221,0.1546219409
89,fluvoxamine:escitalopram,0,,0.7375926635000001,0.7375926635000001,
90,milnacipran:escitalopram,0,,0.8387727913,0.8387727913,
91,mirtazapine:escitalopram,0,,0.8960068305000001,0.8960068305000001,
92,nefazodone:escitalopram,0,,0.6690802975,0.6690802975,
93,paroxetine:escitalopram,2,0.9160924604,0.8857351633,0.8762440417,0.8397201150000001
94,reboxetine:escitalopram,0,,0.6466247031,0.6466247031,
95,sertraline:escitalopram,2,1.1373163387,0.8282852182,0.7957694701,0.2853022709
96,trazodone:escitalopram,0,,0.6418147907,0.6418147907,
97,venlafaxine:escitalopram,2,0.8265292664,0.8716097289,0.8815650076,0.8003169167
98,vortioxetine:escitalopram,0,,1.2155065241,1.2155065241,
99,fluoxetine:fluvoxamine,2,0.9692252489000001,1.0116757506,1.0208762545,0.8614507294
100,fluoxetine:milnacipran,2,1.1715571099,0.8896385519000001,0.7978716720000001,0.14767881600000002
101,fluoxetine:mirtazapine,5,0.6492230859,0.8328112979000001,0.8917047690000001,0.1503330955
102,fluoxetine:nefazodone,3,0.9646894554000001,1.1152691452,1.1825094775,0.6050257805
103,fluoxetine:paroxetine,9,0.7882076957,0.8424692192000001,0.8621389682,0.5453829204
104,fluoxetine:reboxetine,2,1.0136249419,1.1539995424,1.2041629254,0.6162071699
105,fluoxetine:sertraline,6,0.7019583409,0.900902968,1.0050927036,0.0317116797
106,fluoxetine:trazodone,4,0.8346415366000001,1.1626478888,1.2637438231,0.1962329248
107,fluoxetine:venlafaxine,12,0.83112947,0.8561223982,0.8747885378,0.7074508505
108,fluoxetine:vortioxetine,0,,0.6139042421,0.6139042421,
109,fluvoxamine:milnacipran,2,0.5831990180000001,0.8793712328000001,0.9944015018000001,0.1202266304
110,fluvoxamine:mirtazapine,2,0.8774164209,0.8231998221,0.804090646,0.7534047521
111,fluvoxamine:nefazodone,0,,1.1023978231,1.1023978231,
112,fluvoxamine:paroxetine,2,0.8779880276,0.8327462813000001,0.8267981139,0.8634129531
113,fluvoxamine:reboxetine,0,,1.1406812328,1.1406812328,
114,fluvoxamine:sertraline,2,1.5567293705,0.8905056462000001,0.8151384674000001,0.06621938520000001
115,fluvoxamine:trazodone,0,,1.1492297686,1.1492297686,
116,fluvoxamine:venlafaxine,1,0.4229166666,0.8462418890000001,0.8910460642,0.11208395410000001
117,fluvoxamine:vortioxetine,0,,0.6068191728,0.6068191728,
118,milnacipran:mirtazapine,0,,0.9361232111000001,0.9361232111000001,
119,milnacipran:nefazodone,0,,1.2536205212,1.2536205212,
120,milnacipran:paroxetine,2,0.9525936279,0.9469792168000001,0.9425372806000001,0.9638059303000001
121,milnacipran:reboxetine,0,,1.297155502,1.297155502,
122,milnacipran:sertraline,1,2.0869565218,1.0126617895,0.9978716891,0.43173885630000003
123,milnacipran:trazodone,0,,1.3068766931,1.3068766931,
124,milnacipran:venlafaxine,0,,0.9623261002000001,0.9623261002000001,
125,milnacipran:vortioxetine,0,,0.6900602956,0.6900602956,
126,mirtazapine:nefazodone,0,,1.3391618821,1.3391618821,
127,mirtazapine:paroxetine,5,0.9765770038,1.0115967702,1.0284814579,0.7865120663
128,mirtazapine:reboxetine,0,,1.3856674919,1.3856674919,
129,mirtazapine:sertraline,1,0.9741302408,1.0817612228,1.0986191979,0.6916617789
130,mirtazapine:trazodone,1,1.5027652086,1.3960520128,1.3738379515,0.8064417140000001
131,mirtazapine:venlafaxine,2,1.3661980222,1.027990855,0.9543477779,0.1293560221
132,mirtazapine:vortioxetine,0,,0.7371468707000001,0.7371468707000001,
133,nefazodone:paroxetine,2,0.7636565334000001,0.7553954333,0.7509345914000001,0.9639376721
134,nefazodone:reboxetine,0,,1.0347273996,1.0347273996,
135,nefazodone:sertraline,1,1.1666666666,0.8077897357,0.7112287894,0.2338617889
136,nefazodone:trazodone,0,,1.0424818922,1.0424818922,
137,nefazodone:venlafaxine,0,,0.7676374819,0.7676374819,
138,nefazodone:vortioxetine,0,,0.5504538925,0.5504538925,
139,paroxetine:reboxetine,1,1.4962121213000001,1.3697824397,1.3226996665000001,0.7093224290000001
140,paroxetine:sertraline,2,0.8994330956000001,1.0693600995,1.0987649005,0.3951622994
141,paroxetine:trazodone,2,1.7229555597,1.3800479143,1.3045585607999999,0.3827606471
142,paroxetine:venlafaxine,3,0.688627308,1.0162061459,1.0870568521,0.026875425
143,paroxetine:vortioxetine,0,,0.7286963466,0.7286963466,
144,reboxetine:sertraline,0,,0.7806787914000001,0.7806787914000001,
145,reboxetine:trazodone,0,,1.0074942373,1.0074942373,
146,reboxetine:venlafaxine,1,1.0446428571,0.7418741228,0.6870025369,0.28460230870000003
147,reboxetine:vortioxetine,0,,0.5319796235,0.5319796235,
148,sertraline:trazodone,1,0.5595463138,1.2905361954,1.4171934678,0.0392595846
149,sertraline:venlafaxine,4,0.8800180618000001,0.9502936816,0.9772398068,0.5732521762
150,sertraline:vortioxetine,0,,0.6814321452000001,0.6814321452000001,
151,trazodone:venlafaxine,1,0.46951219510000003,0.7363556985,0.7705508598,0.28593260930000003
152,trazodone:vortioxetine,0,,0.5280224977,0.5280224977,
153,venlafaxine:vortioxetine,1,0.7170753193,0.7170753193,,
