,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,incr,allstudies,studlab.orig,year,rob,age,effect_size1,outcome1_direction,treat.orig1,treat.orig2,n12,r11,r12,No_randomised11,No_randomised12,No_randomised21,No_randomised22,Responders21,Responders22
43,Chang 2015,fluoxetine,venlafaxine,0.0153612852,0.4147644666,41,58,38,54,0.0,0,Chang 2015,2023,1,50,OR,harmful,fluoxetine,venlafaxine,54,41,38,58,54,58,54,41,38
44,Chouinard1985,fluoxetine,amitriptyline,-0.896872646,0.5722003784,8,25,15,28,0.0,0,Chouinard1985,2023,1,50,OR,harmful,fluoxetine,amitriptyline,28,8,15,25,28,25,28,8,15
45,Chouinard1999 (29060/131),paroxetine,fluoxetine,-0.0289875369,0.2963679125,67,102,67,101,0.0,0,Chouinard1999 (29060/131),2023,1,50,OR,harmful,paroxetine,fluoxetine,101,67,67,102,101,102,101,67,67
46,Christiansen1996,paroxetine,amitriptyline,-0.0425596144,0.3501035044,46,71,48,73,0.0,0,Christiansen1996,2023,1,50,OR,harmful,paroxetine,amitriptyline,73,46,48,71,73,71,73,46,48
47,CL3-20098-036,agomelatine,venlafaxine,0.207099617,0.3066072273,113,137,111,140,0.0,0,CL3-20098-036,2023,1,50,OR,harmful,agomelatine,venlafaxine,140,113,111,137,140,137,140,113,111
48,CL3-20098-048,agomelatine,paroxetine,0.0136043204,0.20080382970000002,127,213,118,199,0.0,0,CL3-20098-048,2023,1,50,OR,harmful,agomelatine,paroxetine,199,127,118,213,199,213,199,127,118
49,CL3-20098-062,agomelatine,duloxetine,-0.2747857488,0.2100644149,131,202,153,216,0.0,0,CL3-20098-062,2023,1,50,OR,harmful,agomelatine,duloxetine,216,131,153,202,216,202,216,131,153
50,Clerc1994,fluoxetine,venlafaxine,-0.8754687374000001,0.5092285592,17,34,24,34,0.0,0,Clerc1994,2023,1,50,OR,harmful,fluoxetine,venlafaxine,34,17,24,34,34,34,34,17,24
51,Clerc2001,fluvoxamine,milnacipran,-0.5679840376,0.39590427640000003,32,56,40,57,0.0,0,Clerc2001,2023,1,50,OR,harmful,fluvoxamine,milnacipran,57,32,40,56,57,56,57,32,40
52,Cohn1990,sertraline,amitriptyline,0.087011377,0.2736636163,84,161,40,80,0.0,0,Cohn1990,2023,1,50,OR,harmful,sertraline,amitriptyline,80,84,40,161,80,161,80,84,40
53,Colonna2005 (Study 99022),escitalopram,citalopram,0.2717101269,0.21387955790000002,104,175,96,182,0.0,0,Colonna2005 (Study 99022),2023,1,50,OR,harmful,escitalopram,citalopram,182,104,96,175,182,175,182,104,96
54,Corruble2013 (CL3-20098-063),agomelatine,escitalopram,0.1103480572,0.282592498,134,164,128,160,0.0,0,Corruble2013 (CL3-20098-063),2023,1,50,OR,harmful,agomelatine,escitalopram,160,134,128,164,160,164,160,134,128
55,Costaesilva1998,fluoxetine,venlafaxine,-0.3437715391,0.2849260771,153,186,170,196,0.0,0,Costaesilva1998,2023,1,50,OR,harmful,fluoxetine,venlafaxine,196,153,170,186,196,186,196,153,170
56,Dalery2003,fluvoxamine,fluoxetine,0.0592694085,0.2990208522,53,90,54,94,0.0,0,Dalery2003,2023,1,50,OR,harmful,fluvoxamine,fluoxetine,94,53,54,90,94,90,94,53,54
57,"Debonnel2000 (Blier2009, iQWIG E-1639)",mirtazapine,paroxetine,-1.1592369105,0.7094138241,4,21,9,21,0.0,0,"Debonnel2000 (Blier2009, iQWIG E-1639)",2023,1,50,OR,harmful,mirtazapine,paroxetine,21,4,9,21,21,21,21,4,9
58,Debus1988,fluoxetine,trazodone,-0.08004270770000001,0.618448569,9,22,9,21,0.0,0,Debus1988,2023,1,50,OR,harmful,fluoxetine,trazodone,21,9,9,22,21,22,21,9,9
59,Demyttenaere1998 ,amitriptyline,fluoxetine,-0.2006706955,0.5048328980000001,18,31,22,35,0.0,0,Demyttenaere1998 ,2023,1,50,OR,harmful,amitriptyline,fluoxetine,35,18,22,31,35,31,35,18,22
60,DeRonchi1998,fluoxetine,amitriptyline,-0.1823215568,0.49721446300000005,16,32,18,33,0.0,0,DeRonchi1998,2023,1,50,OR,harmful,fluoxetine,amitriptyline,33,16,18,32,33,32,33,16,18
61,DeWilde1983a,fluvoxamine,clomipramine,-0.4660897299,0.7334781497,16,22,17,21,0.0,0,DeWilde1983a,2023,1,50,OR,harmful,fluvoxamine,clomipramine,21,16,17,22,21,22,21,16,17
62,DeWilde1993,paroxetine,fluoxetine,-0.0392207132,0.4022373327,25,49,26,50,0.0,0,DeWilde1993,2023,1,50,OR,harmful,paroxetine,fluoxetine,50,25,26,49,50,49,50,25,26
63,Dierick1996,fluoxetine,venlafaxine,-0.4799652884,0.23824935630000002,95,161,107,153,0.0,0,Dierick1996,2023,1,50,OR,harmful,fluoxetine,venlafaxine,153,95,107,161,153,161,153,95,107
64,DUAG1990,paroxetine,clomipramine,-0.6662177687,0.37204084190000003,23,62,31,58,0.0,0,DUAG1990,2023,1,50,OR,harmful,paroxetine,clomipramine,58,23,31,62,58,62,58,23,31
65,E-1569,mirtazapine,paroxetine,-0.3829922523,0.3364125454,40,73,48,75,0.0,0,E-1569,2023,1,50,OR,harmful,mirtazapine,paroxetine,75,40,48,73,75,73,75,40,48
66,Ekselius1997,citalopram,sertraline,-0.06982826660000001,0.2157907051,136,200,139,200,0.0,0,Ekselius1997,2023,1,50,OR,harmful,citalopram,sertraline,200,136,139,200,200,200,200,136,139
67,Falk1989,trazodone,fluoxetine,-1.0986122887,0.8079466429000001,4,13,8,14,0.0,0,Falk1989,2023,1,50,OR,harmful,trazodone,fluoxetine,14,4,8,13,14,13,14,4,8
68,Fava2002,sertraline,fluoxetine,0.5026954977,0.3144241418,70,96,57,92,0.0,0,Fava2002,2023,1,50,OR,harmful,sertraline,fluoxetine,92,70,57,96,92,96,92,70,57
69,Fava2002,sertraline,paroxetine,0.2972515235,0.3156299301,70,96,64,96,0.0,0,Fava2002,2023,1,50,OR,harmful,sertraline,paroxetine,96,70,64,96,96,96,96,70,64
70,Fava2002,fluoxetine,paroxetine,-0.20544397420000002,0.30494309010000004,57,92,64,96,0.0,0,Fava2002,2023,1,50,OR,harmful,fluoxetine,paroxetine,96,57,64,92,96,92,96,57,64
71,Fawcett1989,amitriptyline,fluoxetine,-0.2135741003,0.6543038691,7,20,8,20,0.0,0,Fawcett1989,2023,1,50,OR,harmful,amitriptyline,fluoxetine,20,7,8,20,20,20,20,7,8
72,Feiger1996,nefazodone,sertraline,0.1541506798,0.3168087584,42,78,41,82,0.0,0,Feiger1996,2023,1,50,OR,harmful,nefazodone,sertraline,82,42,41,78,82,78,82,42,41
73,Feighner1991,fluoxetine,bupropion,-0.1733528868,0.3664725901,35,62,37,61,0.0,0,Feighner1991,2023,1,50,OR,harmful,fluoxetine,bupropion,61,35,37,62,61,62,61,35,37
74,Fudge1990,fluoxetine,trazodone,-1.2739651761,0.7196055641,10,21,13,17,0.0,0,Fudge1990,2023,1,50,OR,harmful,fluoxetine,trazodone,17,10,13,21,17,21,17,10,13
75,Gagiano1993,paroxetine,fluoxetine,0.2876820725,0.43885372570000003,30,45,27,45,0.0,0,Gagiano1993,2023,1,50,OR,harmful,paroxetine,fluoxetine,45,30,27,45,45,45,45,30,27
76,Gentil2000,venlafaxine,amitriptyline,0.0460033533,0.4290434999,43,57,44,59,0.0,0,Gentil2000,2023,1,50,OR,harmful,venlafaxine,amitriptyline,59,43,44,57,59,57,59,43,44
77,Geretsegger1995 (MY-060/BRL-029060/1),paroxetine,amitriptyline,-0.1335313926,0.41981214370000003,21,44,24,47,0.0,0,Geretsegger1995 (MY-060/BRL-029060/1),2023,1,50,OR,harmful,paroxetine,amitriptyline,47,21,24,44,47,44,47,21,24
78,Gillin1997,nefazodone,fluoxetine,0.4054651081,0.6123724357,12,24,8,20,0.0,0,Gillin1997,2023,1,50,OR,harmful,nefazodone,fluoxetine,20,12,8,24,20,24,20,12,8
79,Ginestet1989,fluoxetine,clomipramine,0.48835276790000004,0.6266392644000001,22,28,18,26,0.0,0,Ginestet1989,2023,1,50,OR,harmful,fluoxetine,clomipramine,26,22,18,28,26,28,26,22,18
80,Grunebaum2011 (NCT00429169),bupropion,paroxetine,0.021978906700000002,0.4629380025,16,40,15,38,0.0,0,Grunebaum2011 (NCT00429169),2023,1,50,OR,harmful,bupropion,paroxetine,38,16,15,40,38,40,38,16,15
81,Guelfi1998,milnacipran,fluoxetine,0.1404830411,0.24531475560000002,109,200,51,100,0.0,0,Guelfi1998,2023,1,50,OR,harmful,milnacipran,fluoxetine,100,109,51,200,100,200,100,109,51
82,Guillibert1989 (PAR 290 MDF 29060 1727 M),clomipramine,paroxetine,0.315270029,0.4863265225,28,39,26,40,0.0,0,Guillibert1989 (PAR 290 MDF 29060 1727 M),2023,1,50,OR,harmful,clomipramine,paroxetine,40,28,26,39,40,39,40,28,26
83,Hackett1998,fluvoxamine,venlafaxine,-0.8605801249,0.4204101133,14,34,48,77,0.0,0,Hackett1998,2023,1,50,OR,harmful,fluvoxamine,venlafaxine,77,14,48,34,77,34,77,14,48
84,Hale2010 (CL3-20098-045),agomelatine,fluoxetine,0.3539150413,0.1875676463,177,252,164,263,0.0,0,Hale2010 (CL3-20098-045),2023,1,50,OR,harmful,agomelatine,fluoxetine,263,177,164,252,263,252,263,177,164
85,Hao2014,duloxetine,paroxetine,0.3659907759,0.24204402930000002,86,140,74,141,0.0,0,Hao2014,2023,1,50,OR,harmful,duloxetine,paroxetine,141,86,74,140,141,140,141,86,74
86,Harris1991,fluvoxamine,amitriptyline,-1.0056661762,0.49691020010000003,13,35,21,34,0.0,0,Harris1991,2023,1,50,OR,harmful,fluvoxamine,amitriptyline,34,13,21,35,34,35,34,13,21
87,Heller2009(NCT00909155),venlafaxine,fluoxetine,0.11778303570000001,0.7546154282,9,15,8,14,0.0,0,Heller2009(NCT00909155),2023,1,50,OR,harmful,venlafaxine,fluoxetine,14,9,8,15,14,15,14,9,8
88,Hicks2002,nefazodone,paroxetine,-1.1856236657,0.7173006357,11,20,16,20,0.0,0,Hicks2002,2023,1,50,OR,harmful,nefazodone,paroxetine,20,11,16,20,20,20,20,11,16
89,Hong2003 (22521),mirtazapine,fluoxetine,0.3036824138,0.34919994870000004,35,66,30,66,0.0,0,Hong2003 (22521),2023,1,50,OR,harmful,mirtazapine,fluoxetine,66,35,30,66,66,66,66,35,30
90,Hosseini2015 (IRCT201203048513N1.),venlafaxine,citalopram,-1.9459101491,0.6659222034000001,12,28,21,25,0.0,0,Hosseini2015 (IRCT201203048513N1.),2023,1,50,OR,harmful,venlafaxine,citalopram,25,12,21,28,25,28,25,12,21
91,"Hoyberg1996 (Organon 88013, FDA88013)",mirtazapine,amitriptyline,-0.6800994652,0.38953904970000003,30,56,41,59,0.0,0,"Hoyberg1996 (Organon 88013, FDA88013)",2023,1,50,OR,harmful,mirtazapine,amitriptyline,59,30,41,56,59,56,59,30,41
92,Hsu2011,citalopram,sertraline,0.6286086594,0.6247221605000001,9,25,6,26,0.0,0,Hsu2011,2023,1,50,OR,harmful,citalopram,sertraline,26,9,6,25,26,25,26,9,6
93,Hu2009,escitalopram,citalopram,0.10008345860000001,0.7747584311,21,25,19,23,0.0,0,Hu2009,2023,1,50,OR,harmful,escitalopram,citalopram,23,21,19,25,23,25,23,21,19
94,Hutchinson1992,amitriptyline,paroxetine,-0.4734698372,0.44336060660000004,15,32,34,58,0.0,0,Hutchinson1992,2023,1,50,OR,harmful,amitriptyline,paroxetine,58,15,34,32,58,32,58,15,34
95,Jiang2009,escitalopram,citalopram,-0.7259370034,1.2512359481,30,32,31,32,0.0,0,Jiang2009,2023,1,50,OR,harmful,escitalopram,citalopram,32,30,31,32,32,32,32,30,31
96,Judd1993,fluoxetine,amitriptyline,0.2876820725,0.5283622495,15,30,12,28,0.0,0,Judd1993,2023,1,50,OR,harmful,fluoxetine,amitriptyline,28,15,12,30,28,30,28,15,12
97,Kamijima2013 (japicCTI-090733),milnacipran,paroxetine,-0.0345795193,0.1423314417,338,604,171,301,0.0,0,Kamijima2013 (japicCTI-090733),2023,1,50,OR,harmful,milnacipran,paroxetine,301,338,171,604,301,604,301,338,171
98,Kasper2005b,paroxetine,trazodone,0.33647223660000003,0.6200998384,48,53,48,55,0.0,0,Kasper2005b,2023,1,50,OR,harmful,paroxetine,trazodone,55,48,48,53,55,53,55,48,48
99,Kavoussi1997,bupropion,sertraline,-0.0112393966,0.2708321837,82,122,85,126,0.0,0,Kavoussi1997,2023,1,50,OR,harmful,bupropion,sertraline,126,82,85,122,126,122,126,82,85
100,Keegan1991,fluoxetine,amitriptyline,-0.5753641449,0.6614378278,12,20,16,22,0.0,0,Keegan1991,2023,1,50,OR,harmful,fluoxetine,amitriptyline,22,12,16,20,22,20,22,12,16
101,Keller2007 (NCT00046020),fluoxetine,venlafaxine,0.09832223030000001,0.1629883311,210,275,612,821,0.0,0,Keller2007 (NCT00046020),2023,1,50,OR,harmful,fluoxetine,venlafaxine,821,210,612,275,821,275,821,210,612
102,Kennedy2005 (SCT-MD-16),escitalopram,fluoxetine,-0.0569534748,0.285756369,61,102,63,103,0.0,0,Kennedy2005 (SCT-MD-16),2023,1,50,OR,harmful,escitalopram,fluoxetine,103,61,63,102,103,102,103,61,63
103,Kerkhofs1990,fluoxetine,amitriptyline,0.1823215568,0.7187952884000001,6,16,6,18,0.0,0,Kerkhofs1990,2023,1,50,OR,harmful,fluoxetine,amitriptyline,18,6,6,16,18,16,18,6,6
104,Kerr1984,amitriptyline,trazodone,0.23111172100000002,0.46887233850000004,18,38,15,36,0.0,0,Kerr1984,2023,1,50,OR,harmful,amitriptyline,trazodone,36,18,15,38,36,38,36,18,15
105,Khan2007 (SCT-MD-23) (NCT00108979),escitalopram,duloxetine,0.2445295894,0.24476590180000002,61,140,52,138,0.0,0,Khan2007 (SCT-MD-23) (NCT00108979),2023,1,50,OR,harmful,escitalopram,duloxetine,138,61,52,140,138,140,138,61,52
106,Kiev1997,fluvoxamine,paroxetine,0.134732594,0.5193025879000001,17,30,16,30,0.0,0,Kiev1997,2023,1,50,OR,harmful,fluvoxamine,paroxetine,30,17,16,30,30,30,30,17,16
107,Kuhs1989 (MDUK_29060_III_85_043),paroxetine,amitriptyline,1.0296194172,0.8472645058,7,12,4,12,0.0,0,Kuhs1989 (MDUK_29060_III_85_043),2023,1,50,OR,harmful,paroxetine,amitriptyline,12,7,4,12,12,12,12,7,4
108,Kyle1998 (Study 92032 - FDA),citalopram,amitriptyline,0.1259798029,0.20994651320000002,98,179,96,186,0.0,0,Kyle1998 (Study 92032 - FDA),2023,1,50,OR,harmful,citalopram,amitriptyline,186,98,96,179,186,179,186,98,96
109,Laakman1988 ,fluoxetine,amitriptyline,-0.0357180826,0.5345331401,55,63,57,65,0.0,0,Laakman1988 ,2023,1,50,OR,harmful,fluoxetine,amitriptyline,65,55,57,63,65,63,65,55,57
110,Lalit2004,escitalopram,citalopram,0.3249262456,0.524033563,62,69,64,74,0.0,0,Lalit2004,2023,1,50,OR,harmful,escitalopram,citalopram,74,62,64,69,74,69,74,62,64
111,Lalit2004,escitalopram,sertraline,-1.359735088,0.8206576197000001,62,69,69,71,0.0,0,Lalit2004,2023,1,50,OR,harmful,escitalopram,sertraline,71,62,69,69,71,69,71,62,69
112,Lalit2004,citalopram,sertraline,-1.6846613337,0.7937995677,64,74,69,71,0.0,0,Lalit2004,2023,1,50,OR,harmful,citalopram,sertraline,71,64,69,74,71,74,71,64,69
113,Lee2007 (F1J-AA-HMCV) (NCT00489775),duloxetine,paroxetine,-0.2108866802,0.1897376131,144,238,157,240,0.0,0,Lee2007 (F1J-AA-HMCV) (NCT00489775),2023,1,50,OR,harmful,duloxetine,paroxetine,240,144,157,238,240,238,240,144,157
114,Leinonen1997,milnacipran,clomipramine,0.1397619424,0.3949408321,32,52,32,55,0.0,0,Leinonen1997,2023,1,50,OR,harmful,milnacipran,clomipramine,55,32,32,52,55,52,55,32,32
115,Leinonen1999 (Agren1995),mirtazapine,citalopram,-0.2805174592,0.3567726809,116,137,117,133,0.0,0,Leinonen1999 (Agren1995),2023,1,50,OR,harmful,mirtazapine,citalopram,133,116,117,137,133,137,133,116,117
116,Lemoine2007 (CL3-20098-035),agomelatine,venlafaxine,0.37903185100000003,0.2479999092,126,165,115,167,0.0,0,Lemoine2007 (CL3-20098-035),2023,1,50,OR,harmful,agomelatine,venlafaxine,167,126,115,165,167,165,167,126,115
117,Lepine2000,sertraline,clomipramine,0.015209418700000001,0.3243494027,53,82,54,84,0.0,0,Lepine2000,2023,1,50,OR,harmful,sertraline,clomipramine,84,53,54,82,84,82,84,53,54
118,Li2006,escitalopram,citalopram,0.5520685823,0.6130774031,22,28,19,28,0.0,0,Li2006,2023,1,50,OR,harmful,escitalopram,citalopram,28,22,19,28,28,28,28,22,19
119,Li2010,escitalopram,citalopram,0.2744368457,0.7433919417,20,24,19,24,0.0,0,Li2010,2023,1,50,OR,harmful,escitalopram,citalopram,24,20,19,24,24,24,24,20,19
120,Lv2013,escitalopram,citalopram,0.1625189295,0.7558594641,16,20,17,22,0.0,0,Lv2013,2023,1,50,OR,harmful,escitalopram,citalopram,22,16,17,20,22,20,22,16,17
121,Manna1989,fluoxetine,clomipramine,0.3746934494,0.8703882798,12,15,11,15,0.0,0,Manna1989,2023,1,50,OR,harmful,fluoxetine,clomipramine,15,12,11,15,15,15,15,12,11
122,Mao2008,fluoxetine,escitalopram,-0.0195670927,0.3034325251,89,117,94,123,0.0,0,Mao2008,2023,1,50,OR,harmful,fluoxetine,escitalopram,123,89,94,117,123,117,123,89,94
123,Marchesi1998 ,fluoxetine,amitriptyline,-0.5893286853,0.3835699678,45,67,59,75,0.0,0,Marchesi1998 ,2023,1,50,OR,harmful,fluoxetine,amitriptyline,75,45,59,67,75,67,75,45,59
124,Masco1985,fluoxetine,amitriptyline,0.1923718926,0.6207685038,12,21,11,21,0.0,0,Masco1985,2023,1,50,OR,harmful,fluoxetine,amitriptyline,21,12,11,21,21,21,21,12,11
