,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
205,amitriptyline,0.9438803119,0.7663323008,1.1625636062,9.4057359509,0.0280045488,escitalopram
206,bupropion,0.9513351533000001,0.6974919983,1.2975612281,6.3149338557,0.0280045488,escitalopram
207,citalopram,0.8094666834,0.6636452056000001,0.9873292324,9.8676954802,0.0280045488,escitalopram
208,clomipramine,0.7758501625,0.6024579467,0.9991460447,7.7488258594,0.0280045488,escitalopram
209,duloxetine,0.8457136980000001,0.6651170484000001,1.0753470546,8.1592605729,0.0280045488,escitalopram
210,fluoxetine,0.7462046115000001,0.6201999103,0.8978094206,10.597001627400001,0.0280045488,escitalopram
211,fluvoxamine,0.7375926635000001,0.5658430024000001,0.9614732973000001,7.3941318678,0.0280045488,escitalopram
212,milnacipran,0.8387727913,0.634420504,1.1089487035,7.0193566108,0.0280045488,escitalopram
213,mirtazapine,0.8960068305000001,0.7115479032,1.1282841769,8.5030585042,0.0280045488,escitalopram
214,nefazodone,0.6690802975,0.45700045580000004,0.9795798643,5.141392346,0.0280045488,escitalopram
215,paroxetine,0.8857351633,0.7363956796000001,1.0653603779,10.6146528042,0.0280045488,escitalopram
216,reboxetine,0.6466247031,0.4703456494,0.8889707115000001,6.1577472763,0.0280045488,escitalopram
217,sertraline,0.8282852182,0.6736093599,1.0184781322,9.4820111178,0.0280045488,escitalopram
218,trazodone,0.6418147907,0.4784571609,0.8609469338,6.67272443,0.0280045488,escitalopram
219,venlafaxine,0.8716097289,0.7205662678,1.0543145766,10.2992900539,0.0280045488,escitalopram
220,vortioxetine,1.2155065241,0.7083002095,2.0859179344,3.6293061339,0.0280045488,escitalopram
221,agomelatine,0.9403483752,0.6792134638,1.301880946,6.0249304114,0.0280045488,bupropion
222,amitriptyline,0.9921638116,0.7435279805,1.3239434897,6.79418879,0.0280045488,bupropion
223,citalopram,0.8508743533,0.6230076098,1.1620839838,6.2879817702,0.0280045488,bupropion
224,clomipramine,0.8155382041,0.5906959744,1.1259642714,6.0766373875,0.0280045488,bupropion
225,duloxetine,0.8889755572,0.6347021615,1.2451155663,5.817510251,0.0280045488,bupropion
226,escitalopram,1.0511542609,0.7706765417,1.4337082037,6.3149338557,0.0280045488,bupropion
227,fluoxetine,0.7843761569000001,0.596227119,1.0318986438,7.1463201226,0.0280045488,bupropion
228,fluvoxamine,0.7753236710000001,0.5554431734,1.0822471562,5.876809895,0.0280045488,bupropion
229,milnacipran,0.8816795935,0.6247255216,1.2443207116,5.6891352667,0.0280045488,bupropion
230,mirtazapine,0.9418413977000001,0.6943996886,1.2774562446,6.4306745186,0.0280045488,bupropion
231,nefazodone,0.7033066056,0.4580571666,1.0798656098,4.5709068067,0.0280045488,bupropion
232,paroxetine,0.9310442910000001,0.7076008858,1.2250457697,7.1421638649,0.0280045488,bupropion
233,reboxetine,0.6797023119000001,0.4624628711,0.9989888089000001,5.0897371205,0.0280045488,bupropion
234,sertraline,0.8706555364,0.6636392440000001,1.142248699,7.2189474952,0.0280045488,bupropion
235,trazodone,0.674646352,0.4814834484,0.9453029004,5.8105618964,0.0280045488,bupropion
236,venlafaxine,0.9161962804,0.6959042731,1.2062228336,7.1267930452,0.0280045488,bupropion
237,vortioxetine,1.277684862,0.7186805538000001,2.2714940564,3.4063967729,0.0280045488,bupropion
238,agomelatine,1.2128462091,0.9128109194,1.6115012381,6.8966401944,0.0280045488,fluvoxamine
239,amitriptyline,1.2796769255,1.017908914,1.6087618559,8.5642922905,0.0280045488,fluvoxamine
240,bupropion,1.2897839152000001,0.9240033519,1.8003641918,5.876809895,0.0280045488,fluvoxamine
241,citalopram,1.0974440547,0.8479730362000001,1.4203086677,7.6001298649999995,0.0280045488,fluvoxamine
242,clomipramine,1.0518680579,0.7979653744,1.3865594257,7.0948233482,0.0280045488,fluvoxamine
243,duloxetine,1.1465863747,0.8506930729000001,1.5453991063,6.5663172577,0.0280045488,fluvoxamine
244,escitalopram,1.3557618582,1.0400704865,1.7672746607,7.3941318678,0.0280045488,fluvoxamine
245,fluoxetine,1.0116757506,0.8108877793,1.2621818339,8.8594088479,0.0280045488,fluvoxamine
246,milnacipran,1.1371761581,0.8565188172,1.5097970861999999,6.9153578309,0.0280045488,fluvoxamine
247,mirtazapine,1.2147718854,0.9541609877,1.5465636854,8.1166417045,0.0280045488,fluvoxamine
248,nefazodone,0.9071135474,0.6088121458,1.3515745268,4.9152634212,0.0280045488,fluvoxamine
249,paroxetine,1.2008459509,0.9618974575,1.4991525203,8.833854795,0.0280045488,fluvoxamine
250,reboxetine,0.8766691090000001,0.6188850682,1.2418278709,5.6287865758999995,0.0280045488,fluvoxamine
251,sertraline,1.1229575065,0.8858831337,1.4234762053,8.2652965834,0.0280045488,fluvoxamine
252,trazodone,0.8701480133,0.6358553394,1.1907701612000001,6.2481621384,0.0280045488,fluvoxamine
253,venlafaxine,1.1816952257,0.9357548417,1.4922750533,8.3993353445,0.0280045488,fluvoxamine
254,vortioxetine,1.6479373837,0.9444499622,2.8754277402,3.520892682,0.0280045488,fluvoxamine
255,agomelatine,1.1530402506,0.8792232321000001,1.5121322673000002,7.2293084424,0.0280045488,clomipramine
256,amitriptyline,1.2165755162,0.9700540152,1.5257459516,8.6555814714,0.0280045488,clomipramine
257,bupropion,1.226184126,0.8881276479,1.6929182582,6.0766373875,0.0280045488,clomipramine
258,citalopram,1.0433286252,0.8114255358,1.341508952,7.7969961139,0.0280045488,clomipramine
259,duloxetine,1.0900477166,0.8195330197,1.4498549733,6.871356885,0.0280045488,clomipramine
260,escitalopram,1.2889086687,1.0008546851,1.6598668927,7.7488258594,0.0280045488,clomipramine
261,fluoxetine,0.9617895923,0.7811296873,1.1842325736000001,9.4206076906,0.0280045488,clomipramine
262,fluvoxamine,0.9506895779000001,0.7212096225,1.2531872085,7.0948233482,0.0280045488,clomipramine
263,milnacipran,1.0811015217,0.8145348468,1.4349054616,6.9228958096,0.0280045488,clomipramine
264,mirtazapine,1.154870971,0.9017016862,1.4791221754000001,7.9204667851,0.0280045488,clomipramine
265,nefazodone,0.8623833955,0.5834138277,1.2747471615000001,5.0153122206,0.0280045488,clomipramine
266,paroxetine,1.1416317302,0.9351719325000001,1.3936720747,9.8253758565,0.0280045488,clomipramine
267,reboxetine,0.8334401852000001,0.5935552158,1.170274515,5.7743576826,0.0280045488,clomipramine
268,sertraline,1.0675839979,0.8530704883,1.3360391764,8.737858716,0.0280045488,clomipramine
269,trazodone,0.8272406475,0.6128381125,1.1166523017,6.5334459102,0.0280045488,clomipramine
270,venlafaxine,1.1234253353,0.9046066159,1.3951749432,9.0473733671,0.0280045488,clomipramine
271,vortioxetine,1.5666768957000001,0.9040024084,2.7151216334,3.5644140301,0.0280045488,clomipramine
272,agomelatine,1.0577887858,0.814669121,1.3734620429,7.505152725,0.0280045488,duloxetine
273,amitriptyline,1.1160754687,0.8709858998000001,1.4301315924,7.9048840238,0.0280045488,duloxetine
274,bupropion,1.1248903211,0.8031383006,1.5755421371,5.817510251,0.0280045488,duloxetine
275,citalopram,0.9571403245000001,0.7340020347,1.2481131625,7.3840160498,0.0280045488,duloxetine
276,clomipramine,0.9173910323000001,0.6897241575,1.2202070886,6.871356885,0.0280045488,duloxetine
277,escitalopram,1.1824332541,0.9299323374,1.5034947643,8.1592605729,0.0280045488,duloxetine
