Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading
PVI_lines:PVI_step,1,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
PVI_lines:PVI_trig,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_lines:Singlebox,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_lines:Singlebox_lines,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_step:PVI_trig,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
Singlebox:Singlebox_lines,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
EGM:GP,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
EGM:PVI_BI_mod,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
EGM:PVI_GP,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
EGM:PVI_LAA,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
EGM:PVI_RDN,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
EGM:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
EGM:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
EGM:PVI_comb,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
EGM:PVI_lines,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
EGM:PVI_partly,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
EGM:PVI_posterior_lines,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
EGM:PVI_step,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
EGM:PVI_trig,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
EGM:Singlebox,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
EGM:Singlebox_lines,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Imprecision""]"
EGM:lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:PVI_BI_mod,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
GP:PVI_EGM,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
GP:PVI_LAA,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:PVI_RDN,0,Some concerns,Low risk,Some concerns,No concerns,Some concerns,No concerns,High,[]
GP:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,[]
GP:PVI_comb,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:PVI_lines,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
GP:PVI_partly,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:PVI_posterior_lines,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
GP:PVI_step,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:PVI_BI_mod,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,High,[]
PVI:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:PVI_comb,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_EGM,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_GP,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_LAA,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,High,[]
PVI_BI_mod:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Some concerns,Some concerns,No concerns,High,[]
PVI_BI_mod:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_comb,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_partly,0,Some concerns,Low risk,Some concerns,No concerns,Some concerns,No concerns,High,[]
PVI_BI_mod:PVI_posterior_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_step,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
PVI_BI_mod:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_BI_mod,0,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
PVI_EGM:PVI_GP,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_LAA,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_partly,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_step,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_EGM,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:PVI_LAA,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_GP,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:PVI_partly,0,Some concerns,Low risk,Some concerns,Some concerns,Some concerns,No concerns,High,[]
PVI_GP:PVI_posterior_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:PVI_step,0,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
PVI_GP:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_GP,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_LAA,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_partly,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_posterior_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_step,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_LAA:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_LAA,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_RDN:PVI_SUB_mod,0,Some concerns,Low risk,Major concerns,Major concerns,No concerns,No concerns,Low,"[""Indirectness, Imprecision""]"
PVI_RDN:PVI_SVC_lines,0,Some concerns,Low risk,Major concerns,Major concerns,No concerns,No concerns,Low,"[""Indirectness, Imprecision""]"
PVI_comb:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_lines:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:PVI_RDN,0,Some concerns,Low risk,Some concerns,Some concerns,Some concerns,No concerns,High,[]
PVI_posterior_lines:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_RDN:PVI_step,0,Some concerns,Low risk,Major concerns,No concerns,Major concerns,No concerns,Low,"[""Indirectness, Heterogeneity""]"
PVI_RDN:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_RDN:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_RDN:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_RDN,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_SUB_mod:PVI_SVC_lines,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_lines:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_SUB_mod:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_SUB_mod:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_SUB_mod:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_SUB_mod,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_lines:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_posterior_lines:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_step:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_SVC_lines:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_SVC_lines:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_SVC_lines:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_SVC_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_partly,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_step,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_comb,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_lines:PVI_partly,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:PVI_posterior_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:PVI_step,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_partly:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_partly,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_posterior_lines:PVI_step,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_posterior_lines:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_posterior_lines:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_posterior_lines:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_posterior_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_step:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_step:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_step,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_trig:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_trig:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI_trig,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:Singlebox,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:Singlebox_lines,0,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
