,RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
18,7.3333333334,6.9546813624,6,Papp_2012c,APRE,PBO,1.0029958623,53.6171481838,3.3755706587,14.3287158658,2.1505056442,22.4912652446,0.9705882354,0.0,0.0
19,58.0935251822,30.2092845797,7,BE ABLE 1_2018,BIME,PBO,3.6878791834999998,915.1215373815,10.0390178077,90.9053945619,0.0016771289,544144.7565701327,0.442972788,0.27878304330000003,0.0818951514
20,78.1146131783,30.2092845797,7,BE READY_2021,BIME,PBO,11.1267990357,548.3960636327,10.0390178077,90.9053945619,0.0016771289,544144.7565701327,0.7889892567,0.27878304330000003,0.0818951514
21,17.6471962611,30.2092845797,7,BE VIVID_2021,BIME,PBO,6.7760935754,45.9591551403,10.0390178077,90.9053945619,0.0016771289,544144.7565701327,1.9331793115,0.27878304330000003,0.0818951514
22,1.1506702413,1.1506702413,8,BE RADIANT_2021,BIME,SECU,1.0696567331,1.2378195389,1.0696567331,1.2378195389,,,720.7248638395,,
23,1.7114341756,1.7114341756,9,BE VIVID_2021,BIME,USK,1.456743555,2.0106537815,1.456743555,2.0106537815,,,147.9629521835,,
24,68.6577181208,29.0711476337,10,AMAGINE-1 2016,BRODA,PBO,17.2314001248,273.5635075165,16.1904905338,52.1992599902,7.0866146794,119.2574540849,1.6528475582,0.10754128810000001,0.0
25,18.484369885,29.0711476337,10,AMAGINE-2_2015,BRODA,PBO,10.0293201966,34.0673069909,16.1904905338,52.1992599902,7.0866146794,119.2574540849,4.8815086856,0.10754128810000001,0.0
26,38.0111731853,29.0711476337,10,AMAGINE-3_2015,BRODA,PBO,15.9137544135,90.7924836202,16.1904905338,52.1992599902,7.0866146794,119.2574540849,3.2798568886,0.10754128810000001,0.0
27,21.5221238944,29.0711476337,10,Nakagawa_2016,BRODA,PBO,3.0905871799,149.875020496,16.1904905338,52.1992599902,7.0866146794,119.2574540849,0.919116852,0.10754128810000001,0.0
28,42.9376947056,29.0711476337,10,Papp_2012a,BRODA,PBO,2.7252351032,676.5088356954,16.1904905338,52.1992599902,7.0866146794,119.2574540849,0.4792692294,0.10754128810000001,0.0
29,1.272765261,1.2700166812,11,AMAGINE-2_2015,BRODA,USK,1.1191183085,1.4475068429,1.161286415,1.3889272703,,,232.0980615911,0.0,0.0
30,1.2674440404,1.2700166812,11,AMAGINE-3_2015,BRODA,USK,1.1189678881,1.4356215335,1.161286415,1.3889272703,,,247.4519907483,0.0,0.0
31,1.1964912281,1.1964912281,12,CIMPACT_2018,CERTO,ETA,0.8955481886000001,1.5985641835000002,0.8955481886000001,1.5985641835000002,,,45.7679628783,,
32,37.5263157877,19.7279593038,13,CIMPACT_2018,CERTO,PBO,2.3655117988,595.3148816788,8.2769902628,47.0210023131,4.8150032422999995,80.8290999416,0.5028112765,0.0,0.0
33,20.0655737705,19.7279593038,13,CIMPASI-1_2018,CERTO,PBO,2.857742545,140.8899662565,8.2769902628,47.0210023131,4.8150032422999995,80.8290999416,1.0113099188,0.0,0.0
34,13.0758426972,19.7279593038,13,CIMPASI-2_2018,CERTO,PBO,3.3418114516,51.1631684541,8.2769902628,47.0210023131,4.8150032422999995,80.8290999416,2.0639827427,0.0,0.0
35,24.5762711862,19.7279593038,13,Reich_2012a,CERTO,PBO,3.4813737371,173.4927505706,8.2769902628,47.0210023131,4.8150032422999995,80.8290999416,1.0057488155,0.0,0.0
36,34.7241379299,19.7279593038,13,Umezawa_2021,CERTO,PBO,2.2217070814,542.7203995846,8.2769902628,47.0210023131,4.8150032422999995,80.8290999416,0.5082722508,0.0,0.0
37,2.1453488372,1.1795809472,14,Flystrom_2008,CICLO,MTX,0.7160240764,6.4278866937,0.4754595136,2.9264557155,,,1.7461245482,0.2592317804,0.5655599001
38,0.8235294118,1.1795809472,14,Heydendael_2003,CICLO,MTX,0.465381437,1.457300696,0.4754595136,2.9264557155,,,2.9067288628,0.2592317804,0.5655599001
39,13.9864864866,13.9864864866,15,Papp_2018,DEUCRAVA,PBO,1.994021783,98.1041460562,1.994021783,98.1041460562,,,1.0123854969,,
40,0.1086956522,0.1086956522,16,PIECE_2016,ETA,IFX,0.0150663402,0.7841814675000001,0.0150663402,0.7841814675000001,,,0.9837467921,,
41,0.28710172510000004,0.33504343070000003,17,UNCOVER-2_2015,ETA,IXE,0.22980968610000002,0.35867679010000003,0.25154388440000003,0.4462605033,,,22.1065807696,0.032338184400000004,0.7537302839000001
42,0.38481675390000003,0.33504343070000003,17,UNCOVER-3_2015,ETA,IXE,0.3221150817,0.4597236904,0.25154388440000003,0.4462605033,,,24.6469488101,0.032338184400000004,0.7537302839000001
43,34.7142857148,11.6683844285,18,Bachelez_2015,ETA,PBO,4.9042692249,245.7209377044,8.1346904294,16.7371083573,7.8135311936,17.4250530006,1.0029850746,0.0,0.0
44,15.0,11.6683844285,18,Bagel 2012,ETA,PBO,2.0434745776,110.1065814395,8.1346904294,16.7371083573,7.8135311936,17.4250530006,0.9667359666,0.0,0.0
45,31.3636363626,11.6683844285,18,CIMPACT_2018,ETA,PBO,1.9641412781,500.8181930942,8.1346904294,16.7371083573,7.8135311936,17.4250530006,0.5004381413,0.0,0.0
46,13.4000000006,11.6683844285,18,FIXTURE_2014,ETA,PBO,5.4721786477,32.813256214,8.1346904294,16.7371083573,7.8135311936,17.4250530006,4.7894921495,0.0,0.0
47,15.9148936176,11.6683844285,18,Gottlieb_2011,ETA,PBO,2.2232594527,113.9245527782,8.1346904294,16.7371083573,7.8135311936,17.4250530006,0.9915667747,0.0,0.0
48,5.7349397588,11.6683844285,18,LIBERATE_2017,ETA,PBO,1.7459081789000002,18.8380663051,8.1346904294,16.7371083573,7.8135311936,17.4250530006,2.7158864371,0.0,0.0
49,20.0000000009,11.6683844285,18,Leonardi_2003,ETA,PBO,2.7933217585,143.1986840829,8.1346904294,16.7371083573,7.8135311936,17.4250530006,0.9913453973,0.0,0.0
50,29.5724815723,11.6683844285,18,Papp_2005,ETA,PBO,4.1268090456,211.9147400987,8.1346904294,16.7371083573,7.8135311936,17.4250530006,0.9905009087000001,0.0,0.0
51,16.6964856223,11.6683844285,18,ReSURFACE-2_2017,ETA,PBO,4.1451567987,67.2526144787,8.1346904294,16.7371083573,7.8135311936,17.4250530006,1.9789431404000002,0.0,0.0
52,4.6618705035,11.6683844285,18,Strober_2011,ETA,PBO,1.4638467141,14.846524832,8.1346904294,16.7371083573,7.8135311936,17.4250530006,2.8629732051000003,0.0,0.0
53,16.1454983924,11.6683844285,18,Tyring_2006,ETA,PBO,5.9554377885,43.7712772081,8.1346904294,16.7371083573,7.8135311936,17.4250530006,3.8620038762,0.0,0.0
54,31.4413407823,11.6683844285,18,UNCOVER-2_2015,ETA,PBO,4.4022376309,224.5580527605,8.1346904294,16.7371083573,7.8135311936,17.4250530006,0.9938582579,0.0,0.0
55,8.2521815005,11.6683844285,18,UNCOVER-3_2015,ETA,PBO,3.6861162002,18.4743225171,8.1346904294,16.7371083573,7.8135311936,17.4250530006,5.914653906,0.0,0.0
56,6.2291666668,11.6683844285,18,Vandekerkhof_2008,ETA,PBO,0.8402025843,46.1823351749,8.1346904294,16.7371083573,7.8135311936,17.4250530006,0.9571509554000001,0.0,0.0
57,0.43080462480000004,0.43080462480000004,19,FIXTURE_2014,ETA,SECU,0.3429693741,0.5411346867,0.3429693741,0.5411346867,,,73.8881786175,,
58,0.5680756943,0.5680756943,20,ReSURFACE-2_2017,ETA,TILDRA,0.449039379,0.71866747,0.449039379,0.71866747,,,69.4749204439,,
59,0.5549109872,0.5549109872,21,ACCEPT_2010,ETA,USK,0.4470985991,0.6887210212,0.4470985991,0.6887210212,,,82.3140195765,,
60,0.5,0.5,22,Fallaharani_2011,FUM,MTX,0.047851476600000005,5.2244991689,0.047851476600000005,5.2244991689,,,0.6976744186,,
61,4.4699646642,4.4699646642,23,BRIDGE_2017,FUM,PBO,2.0078047258,9.9514578497,2.0078047258,9.9514578497,,,5.9972023837,,
62,0.7733007733,0.7733007733,24,IXORA-R_2020,GUSEL,IXE,0.7045201688,0.8487962622,0.7045201688,0.8487962622,,,442.7107768724,,
63,19.5865384618,27.7649338757,25,Gordon_2015_X-PLORE,GUSEL,PBO,2.8092087498,136.5624711762,16.2120448681,47.5505440178,11.5904015351,66.511203325,1.0186493692,0.0,0.0
64,25.0800000009,27.7649338757,25,ORION_2020Ê,GUSEL,PBO,1.6307336773999999,385.7198810312,16.2120448681,47.5505440178,11.5904015351,66.511203325,0.5142851518,0.0,0.0
65,90.8521400749,27.7649338757,25,Ohtsuki_2018,GUSEL,PBO,5.7311593841,1440.2166827013,16.2120448681,47.5505440178,11.5904015351,66.511203325,0.5030778943,0.0,0.0
66,25.4917933129,27.7649338757,25,VOYAGE-1_2016,GUSEL,PBO,10.7194011108,60.6219992694,16.2120448681,47.5505440178,11.5904015351,66.511203325,5.1186833934,0.0,0.0
67,28.9166666679,27.7649338757,25,VOYAGE-2_2017,GUSEL,PBO,13.0907226038,63.8752830144,16.2120448681,47.5505440178,11.5904015351,66.511203325,6.1162033129,0.0,0.0
68,0.9083881721,0.9083881721,26,ECLIPSE_2019,GUSEL,SECU,0.8430736765,0.9787627040000001,0.8430736765,0.9787627040000001,,,689.9466683283,,
69,85.5885167473,42.5525807976,27,EXPRESS-II_2007,IFX,PBO,12.0862053337,606.0954614567,16.0460512549,112.8453414346,8.7334092577,207.3327928544,1.0025330196,0.0,0.0
70,43.9999999992,42.5525807976,27,EXPRESS_2005,IFX,PBO,6.2622403334,309.1545352548,16.0460512549,112.8453414346,8.7334092577,207.3327928544,1.0106066387,0.0,0.0
71,26.2727272724,42.5525807976,27,Gottlieb_2004a,IFX,PBO,3.755340521,183.8065534848,16.0460512549,112.8453414346,8.7334092577,207.3327928544,1.0150784076,0.0,0.0
72,21.4225352109,42.5525807976,27,Torii_2010,IFX,PBO,1.3664617825,335.8491402567,16.0460512549,112.8453414346,8.7334092577,207.3327928544,0.5071428571000001,0.0,0.0
73,52.2307692309,42.5525807976,27,Yang_2012,IFX,PBO,3.2970294883,827.4276175375,16.0460512549,112.8453414346,8.7334092577,207.3327928544,0.5033203502,0.0,0.0
74,27.3809523817,46.3320451836,28,Leonardi_2012,IXE,PBO,1.7458700731999999,429.4228790702,19.3451192253,110.9664089373,3.7976862934,565.2542745928,0.41812833190000004,0.4192405802,0.4160727422
75,34.8228571421,46.3320451836,28,NCT03364309,IXE,PBO,8.8388288649,137.193671025,19.3451192253,110.9664089373,3.7976862934,565.2542745928,1.1005580927,0.4192405802,0.4160727422
76,145.9919075161,46.3320451836,28,UNCOVER-1_2016,IXE,PBO,36.6019776638,582.3083456296,19.3451192253,110.9664089373,3.7976862934,565.2542745928,1.0899529327,0.4192405802,0.4160727422
77,109.5128939837,46.3320451836,28,UNCOVER-2_2015,IXE,PBO,15.5050895109,773.4927257423,19.3451192253,110.9664089373,3.7976862934,565.2542745928,0.7071869030000001,0.4192405802,0.4160727422
78,21.4444444451,46.3320451836,28,UNCOVER-3_2015,IXE,PBO,9.7402769365,47.2126409297,19.3451192253,110.9664089373,3.7976862934,565.2542745928,1.7200619532,0.4192405802,0.4160727422
79,1.4074129652,1.4074129652,29,IXORA-S_2017 Ê,IXE,USK,1.214197342,1.6313750543,1.214197342,1.6313750543,,,176.1617373757,,
80,2.6923076922,5.8064193541,30,Hunter_1963,MTX,PBO,0.11713049980000001,61.8841439544,0.7246055585000001,46.5280804427,,,0.39089347080000003,0.0,0.0
81,10.639344262,5.8064193541,30,METOP_2017,MTX,PBO,0.658256069,171.9629360793,0.7246055585000001,46.5280804427,,,0.49608617920000003,0.0,0.0
82,3.652173913,9.5122179538,31,NCT02762994,NETA,PBO,1.6274460033,8.195893605,0.8089695659,111.848818808,,,0.40039477900000003,2.3274522482,0.6838209637
83,49.619469026,9.5122179538,31,PLANETA_2021,NETA,PBO,3.1422229775,783.5509204828,0.8089695659,111.848818808,,,0.2320367237,2.3274522482,0.6838209637
84,0.061188811200000005,0.0444177593,32,Blauvelt_2021,PBO,RISAN,0.0155964459,0.2400592181,0.0254427412,0.077544213,0.017973245500000002,0.1097707889,2.0559340019,0.0,0.0
85,0.0273154362,0.0444177593,32,IMMhance_2020,PBO,RISAN,0.0069186426,0.1078438498,0.0254427412,0.077544213,0.017973245500000002,0.1097707889,2.037080146,0.0,0.0
86,0.0229208925,0.0444177593,32,SustaIMM_2019,PBO,RISAN,0.0032745319,0.16044042990000001,0.0254427412,0.077544213,0.017973245500000002,0.1097707889,1.0145344549,0.0,0.0
87,0.06507406460000001,0.0444177593,32,UltIMMa-1_2018 Ê,PBO,RISAN,0.0276144566,0.1533484414,0.0254427412,0.077544213,0.017973245500000002,0.1097707889,5.2281180298,0.0,0.0
88,0.0272727273,0.0444177593,32,UltIMMa-2_2018 Ê,PBO,RISAN,0.0069074259,0.1076814524,0.0254427412,0.077544213,0.017973245500000002,0.1097707889,2.0369087359,0.0,0.0
89,0.0205518827,0.0416485989,33,ALLURE_2021,PBO,SECU,0.0029261087,0.1443486632,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.9136058072000001,0.10543740300000001,0.0
90,0.037649219500000004,0.0416485989,33,CARIMA_2019,PBO,SECU,0.0023444935,0.604592719,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.47352006620000003,0.10543740300000001,0.0
91,0.0204896422,0.0416485989,33,Cai_2020,PBO,SECU,0.0051707082000000005,0.0811930248,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,1.6695359152,0.10543740300000001,0.0
92,0.0246975806,0.0416485989,33,ERASURE_2014,PBO,SECU,0.007991353100000001,0.07632881250000001,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,2.2890401765,0.10543740300000001,0.0
93,0.0156818633,0.0416485989,33,FEATURE_2015,PBO,SECU,0.0009873668,0.2490673495,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.4771129187,0.10543740300000001,0.0
94,0.0321495989,0.0416485989,33,FIXTURE_2014,PBO,SECU,0.0134224913,0.0770048333,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,3.2889760691,0.10543740300000001,0.0
95,0.0171792153,0.0416485989,33,JUNCTURE_2015,PBO,SECU,0.0010798438,0.2733038098,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.4765676245,0.10543740300000001,0.0
96,0.0324115373,0.0416485989,33,NCT03055494 ObePso-S,PBO,SECU,0.0020550064,0.5111944005,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.4794095136,0.10543740300000001,0.0
97,0.0858895706,0.0416485989,33,NCT03535194,PBO,SECU,0.0418275669,0.1763673789,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,4.1631745222,0.10543740300000001,0.0
98,0.0719298246,0.0416485989,33,NCT03589885 MATURE,PBO,SECU,0.0184911994,0.2798033569,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,1.7071076463,0.10543740300000001,0.0
99,0.23409090910000002,0.0416485989,33,Papp_2013a,PBO,SECU,0.0331423536,1.6534297598,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.9088644203,0.10543740300000001,0.0
100,0.0147688061,0.0416485989,33,Papp_2021,PBO,SECU,0.0009293983,0.2346869179,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.47694366050000003,0.10543740300000001,0.0
101,0.1014005602,0.0416485989,33,Reich_2015,PBO,SECU,0.0067209157,1.5298620053,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.4943938223,0.10543740300000001,0.0
102,0.068902065,0.0416485989,33,Rich_2013,PBO,SECU,0.009745802000000001,0.48713226140000004,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.9080645477,0.10543740300000001,0.0
103,0.0243589744,0.0416485989,33,TRANSFIGURE_2016,PBO,SECU,0.0034685777000000003,0.1710671282,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.9137103358,0.10543740300000001,0.0
104,0.014811275700000001,0.0416485989,33,VIP-S trial_2020,PBO,SECU,0.0009357993000000001,0.234424083,0.0269045841,0.0644724995,0.0178941482,0.09693704160000001,0.4782539113,0.10543740300000001,0.0
105,0.015333701000000002,0.015333701000000002,34,Papp_2021,PBO,SONELO,0.0009699019,0.2424187297,0.0009699019,0.2424187297,,,0.5040631965,,
106,0.0639751553,0.0579774402,35,Papp_2015,PBO,TILDRA,0.009149800100000001,0.44731255900000005,0.027765659800000002,0.1210626217,0.0004901765,6.8574961587,1.0156940647,0.0,0.0
107,0.0737156511,0.0579774402,35,ReSURFACE-1_2017,PBO,TILDRA,0.0278547682,0.19508319640000002,0.027765659800000002,0.1210626217,0.0004901765,6.8574961587,4.055852805,0.0,0.0
108,0.0340236686,0.0579774402,35,ReSURFACE-2_2017,PBO,TILDRA,0.0085536272,0.1353355723,0.027765659800000002,0.1210626217,0.0004901765,6.8574961587,2.0151014038,0.0,0.0
109,0.0688562969,0.0541995235,36,AMAGINE-2_2015,PBO,USK,0.0369885784,0.1281798281,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,4.9473623467,0.1016052885,0.1066312169
110,0.033343986400000004,0.0541995235,36,AMAGINE-3_2015,PBO,USK,0.0138683043,0.0801699619,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,3.3118372303,0.1016052885,0.1066312169
111,0.0969805147,0.0541995235,36,BE VIVID_2021,PBO,USK,0.0368198434,0.25543889810000003,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,2.8921142579,0.1016052885,0.1066312169
112,0.08203125,0.0541995235,36,Igarashi_2012,PBO,USK,0.0117658981,0.5719177493000001,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,0.9231461329,0.1016052885,0.1066312169
113,0.0421052632,0.0541995235,36,Krueger_2007,PBO,USK,0.0059837855,0.2962761929,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,0.9152477354,0.1016052885,0.1066312169
114,0.033888888900000004,0.0541995235,36,PEARL_2011,PBO,USK,0.0047724294,0.2406440619,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,0.9075410661000001,0.1016052885,0.1066312169
115,0.0500980392,0.0541995235,36,PHOENIX1_2008,PBO,USK,0.0208924227,0.1201303249,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,3.3252775969,0.1016052885,0.1066312169
116,0.0157068063,0.0541995235,36,PHOENIX2_2008,PBO,USK,0.0050747452,0.048614020200000004,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,2.3046897243,0.1016052885,0.1066312169
117,0.116713352,0.0541995235,36,UltIMMa-1_2018 Ê,PBO,USK,0.0481568994,0.2828671842,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,3.272134699,0.1016052885,0.1066312169
118,0.0429874077,0.0541995235,36,UltIMMa-2_2018 Ê,PBO,USK,0.010736591200000001,0.1721139593,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,1.6595395184,0.1016052885,0.1066312169
119,0.0550795594,0.0541995235,36,VIP-U trial_2020,PBO,USK,0.0034112356,0.8893428132000001,0.036603401800000004,0.0802545175,0.0231288623,0.1270096346,0.47260936330000003,0.1016052885,0.1066312169
120,1.1239457488,1.1239457488,37,IMMerge_2021,RISAN,SECU,0.9734736437,1.2976766802,0.9734736437,1.2976766802,,,185.9521721575,,
121,1.5476190476,1.6536334732,38,Papp_2017b,RISAN,USK,1.0337701894,2.3168831342000002,1.4240461301,1.9202353110000001,0.6274831115,4.3578920507,23.5938062614,0.0,0.0
122,1.7935463660000002,1.6536334732,38,UltIMMa-1_2018 Ê,RISAN,USK,1.4120693783,2.2780811031,1.4240461301,1.9202353110000001,0.6274831115,4.3578920507,67.173322097,0.0,0.0
123,1.5762049500000002,1.6536334732,38,UltIMMa-2_2018 Ê,RISAN,USK,1.2680441606000001,1.9592551439,1.4240461301,1.9202353110000001,0.6274831115,4.3578920507,81.1709418375,0.0,0.0
124,1.0382491971,1.0382491971,39,Papp_2021,SECU,SONELO,0.8287676860000001,1.3006798086,0.8287676860000001,1.3006798086,,,75.644320625,,
125,1.4131468531,1.3979261997,40,CLARITY_2018,SECU,USK,1.292032095,1.5456148776,1.3046805711,1.497836101,,,478.4683281341,0.0,0.0
126,1.3759936041,1.3979261997,40,CLEAR_2015,SECU,USK,1.2347861581,1.5333492249,1.3046805711,1.497836101,,,327.652453772,0.0,0.0
