unique_id,name,treat,treat_class,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio
42,Gottlieb_2004a,IFX,ATA,12,198,L,102,198,2004,0,249,44,174,17,.,,19,226,171,216,81
42,Gottlieb_2004a,PBO,PBO,0,51,L,1,51,2004,0,249,44,174,17,.,,19,226,171,216,81
50,Hunter_1963,PBO,PBO,,17,H,0,17,1963,0,41,,,,.,,,,,,.
50,Hunter_1963,MTX,CSA,,19,H,1,19,1963,0,41,,,,.,,,,,,.
52,Reich_2012a,CERTO,ATA,7,118,L,50,118,2012,0,176,43,123,20,27,82,21,,,,41
52,Reich_2012a,PBO,PBO,1,58,L,1,58,2012,0,176,43,123,20,27,82,21,,,,41
55,Yang_2012,IFX,ATA,1,84,H,48,84,2012,0,129,40,95,16,.,68,,,,,.
55,Yang_2012,PBO,PBO,0,45,H,0,45,2012,0,129,40,95,16,.,68,,,,,.
58,Meffert_1997,PBO,PBO,0,43,H,,43,1997,0,127,,,,.,,16,,,,.
58,Meffert_1997,CICLO,CSA,5,84,H,,84,1997,0,127,,,,.,,16,,,,.
59,LOTUS_2013,PBO,PBO,1,162,M,,162,2013,0,322,40,248,14,.,70,23,309,120,132,30
59,LOTUS_2013,USK,AIL1223,1,160,M,,160,2013,0,322,40,248,14,.,70,23,309,120,132,30
66,ESTEEM-2_2015,APRE,SM,5,275,L,24,275,2015,0,413,45.5,276,18.5,31,91,19.5,,,159,136
66,ESTEEM-2_2015,PBO,PBO,3,138,L,2,138,2015,0,413,45.5,276,18.5,31,91,19.5,,,159,136
67,Bachelez_2015,PBO,PBO,2,108,L,1,108,2015,0,444,44,304,17.5,.,81,19.5,,318,,49
67,Bachelez_2015,ETA,ATA,7,336,L,108,336,2015,0,444,44,304,17.5,.,81,19.5,,318,,49
68,Gordon_2015_X-PLORE,PBO,PBO,1,42,H,1,42,2015,0,293,47,207,19,31,92,21,283,154,147,126
68,Gordon_2015_X-PLORE,ADA,ATA,1,43,H,19,43,2015,0,293,47,207,19,31,92,21,283,154,147,126
68,Gordon_2015_X-PLORE,GUSEL,AIL23,3,208,H,97,208,2015,0,293,47,207,19,31,92,21,283,154,147,126
69,UNCOVER-2_2015,ETA,ATA,8,358,L,67,358,2015,0,1224,45,821,19,31,91,21,1007,570,606,288
69,UNCOVER-2_2015,IXE,AIL17,13,698,L,455,698,2015,0,1224,45,821,19,31,91,21,1007,570,606,288
69,UNCOVER-2_2015,PBO,PBO,2,168,L,1,168,2015,0,1224,45,821,19,31,91,21,1007,570,606,288
70,UNCOVER-3_2015,ETA,ATA,5,382,L,98,382,2015,0,1346,46,918,18,30.5,91,21,1063,522,615,209
70,UNCOVER-3_2015,PBO,PBO,5,193,L,6,193,2015,0,1346,46,918,18,30.5,91,21,1063,522,615,209
70,UNCOVER-3_2015,IXE,AIL17,15,771,L,514,771,2015,0,1346,46,918,18,30.5,91,21,1063,522,615,209
72,CLEAR_2015,USK,AIL1223,10,339,L,193,339,2015,0,676,45,481,18,29,87,22,,,441,92
72,CLEAR_2015,SECU,AIL17,10,337,L,264,337,2015,0,676,45,481,18,29,87,22,,,441,92
73,JUNCTURE_2015,SECU,AIL17,4,121,L,57,121,2015,0,182,45,125,21,.,91,20,,,90,43
73,JUNCTURE_2015,PBO,PBO,1,61,L,0,61,2015,0,182,45,125,21,.,91,20,,,90,43
74,AMAGINE-1 2016,PBO,PBO,3,220,L,2,220,2016,0,661,46,484,20,.,91,20,,,,305
74,AMAGINE-1 2016,BRODA,AIL17,6,298,L,186,298,2016,0,661,46,484,20,.,91,20,,,,305
75,Nakagawa_2016,PBO,PBO,1,38,H,1,38,2015,0,151,45,120,15,.,74,26,,,,16
75,Nakagawa_2016,BRODA,AIL17,3,113,H,64,113,2015,0,151,45,120,15,.,74,26,,,,16
76,AMAGINE-2_2015,PBO,PBO,8,309,M,10,309,2015,0,1831,45,1258,19,31,91,20,,,,530
76,AMAGINE-2_2015,USK,AIL1223,4,300,M,141,300,2015,0,1831,45,1258,19,31,91,20,,,,530
76,AMAGINE-2_2015,BRODA,AIL17,19,1222,M,731,1222,2015,0,1831,45,1258,19,31,91,20,,,,530
77,AMAGINE-3_2015,USK,AIL1223,2,313,M,149,313,2015,0,1881,45,1288,18,30,89,20,,,,468
77,AMAGINE-3_2015,PBO,PBO,3,315,M,5,315,2015,0,1881,45,1288,18,30,89,20,,,,468
77,AMAGINE-3_2015,BRODA,AIL17,19,1253,M,756,1253,2015,0,1881,45,1288,18,30,89,20,,,,468
78,Papp_2015,PBO,PBO,0,46,M,1,46,2015,0,355,45,270,,29,,,,,,95
78,Papp_2015,TILDRA,AIL23,4,309,M,105,309,2015,0,355,45,270,,29,,,,,,95
79,PIECE_2016,ETA,ATA,1,23,H,1,23,2016,0,48,44,31,20,.,,17,,,,.
79,PIECE_2016,IFX,ATA,1,25,H,10,25,2016,0,48,44,31,20,.,,17,,,,.
80,Cai_2016,PBO,PBO,3,87,L,3,87,2016,0,425,43,312,15,24,70,28,,,,.
80,Cai_2016,ADA,ATA,4,338,L,188,338,2016,0,425,43,312,15,24,70,28,,,,.
81,Reich_2015,PBO,PBO,0,10,L,0,10,2015,0,100,,,,.,,,,,,.
81,Reich_2015,SECU,AIL17,7,90,L,42,90,2015,0,100,,,,.,,,,,,.
84,Gottlieb_2011,PBO,PBO,1,68,L,1,68,2011,0,209,43.5,145,18,.,95,19,192,53,56,30
84,Gottlieb_2011,ETA,ATA,1,141,L,33,141,2011,0,209,43.5,145,18,.,95,19,192,53,56,30
85,Strober_2011,PBO,PBO,2,72,L,3,72,2011,0,211,45,131,15,.,95,18,202,39,64,14
85,Strober_2011,ETA,ATA,1,139,L,27,139,2011,0,211,45,131,15,.,95,18,202,39,64,14
86,UNCOVER-1_2016,IXE,AIL17,18,865,L,586,865,2016,0,1296,46,883,20,.,92,20,,1261,684,522
86,UNCOVER-1_2016,PBO,PBO,5,431,L,2,431,2016,0,1296,46,883,20,.,92,20,,1261,684,522
87,METOP_2017,PBO,PBO,4,29,L,0,29,2016,0,120,45,100,18,30,93,15,,8,36,6
87,METOP_2017,MTX,CSA,1,91,L,16,91,2016,0,120,45,100,18,30,93,15,,8,36,6
88,BRIDGE_2017,PBO,PBO,5,138,H,6,138,2016,0,704,44.5,452,,.,,16,,,,.
88,BRIDGE_2017,FUM,CSA,17,566,H,110,566,2016,0,704,44.5,452,,.,,16,,,,.
91,Papp_2012c,APRE,SM,7,264,L,22,264,2012,0,352,44,221,19,31,92,18.5,,,176,.
91,Papp_2012c,PBO,PBO,2,88,L,1,88,2012,0,352,44,221,19,31,92,18.5,,,176,.
92,Papp_2013b,APRE,SM,2,173,H,,173,2013,0,260,46,163,19,.,,19.5,,,,.
92,Papp_2013b,PBO,PBO,4,87,H,,87,2013,0,260,46,163,19,.,,19.5,,,,.
93,LIBERATE_2017,ETA,ATA,2,83,M,17,83,2016,0,250,45,157,18,29.5,88.5,19.5,,,194,
93,LIBERATE_2017,PBO,PBO,0,84,M,3,84,2016,0,250,45,157,18,29.5,88.5,19.5,,,194,
93,LIBERATE_2017,APRE,SM,3,83,M,12,83,2016,0,250,45,157,18,29.5,88.5,19.5,,,194,
94,VOYAGE-1_2016,GUSEL,AIL23,8,329,L,241,329,2016,0,837,44,608,17.5,30,,22,762,454,517,175
94,VOYAGE-1_2016,ADA,ATA,6,334,L,166,334,2016,0,837,44,608,17.5,30,,22,762,454,517,175
94,VOYAGE-1_2016,PBO,PBO,3,174,L,5,174,2016,0,837,44,608,17.5,30,,22,762,454,517,175
95,VOYAGE-2_2017,PBO,PBO,3,248,L,6,248,2016,0,992,44,692,18,30,,22,947,565,639,204
95,VOYAGE-2_2017,GUSEL,AIL23,8,496,L,347,496,2016,0,992,44,692,18,30,,22,947,565,639,204
95,VOYAGE-2_2017,ADA,ATA,6,248,L,116,248,2016,0,992,44,692,18,30,,22,947,565,639,204
97,CLARITY_2018,USK,AIL1223,9,552,L,299,552,2018,0,1102,45,732,17,.,92,21,,,,240
97,CLARITY_2018,SECU,AIL17,14,550,L,421,550,2018,0,1102,45,732,17,.,92,21,,,,240
99,Elewski_2016,ADA,ATA,8,109,L,47,109,2016,0,217,47,183,19,29,90,12.5,,,,.
99,Elewski_2016,PBO,PBO,5,108,L,7,108,2016,0,217,47,183,19,29,90,12.5,,,,.
101,UltIMMa-1_2018 Ê,RISAN,AIL23,7,304,L,229,304,2018,0,506,48,361,,29.5,,20.5,,,,174
101,UltIMMa-1_2018 Ê,PBO,PBO,3,102,L,5,102,2018,0,506,48,361,,29.5,,20.5,,,,174
101,UltIMMa-1_2018 Ê,USK,AIL1223,8,100,L,42,100,2018,0,506,48,361,,29.5,,20.5,,,,174
102,UltIMMa-2_2018 Ê,USK,AIL1223,3,99,L,47,99,2018,0,491,47,336,,31,,19,,,,203
102,UltIMMa-2_2018 Ê,PBO,PBO,1,98,L,2,98,2018,0,491,47,336,,31,,19,,,,203
102,UltIMMa-2_2018 Ê,RISAN,AIL23,6,294,L,220,294,2018,0,491,47,336,,31,,19,,,,203
103,CIMPASI-1_2018,PBO,PBO,1,51,L,1,51,2018,0,234,46,162,17,31,93,20,,,,74
103,CIMPASI-1_2018,CERTO,ATA,7,183,L,72,183,2018,0,234,46,162,17,31,93,20,,,,74
104,CIMPASI-2_2018,CERTO,ATA,6,178,L,95,178,2018,0,227,45,127,17,31,93,18,,,,76
104,CIMPASI-2_2018,PBO,PBO,0,49,L,2,49,2018,0,227,45,127,17,31,93,18,,,,76
108,VIP trial_2018 Ê,PBO,PBO,0,31,M,,31,2018,0,96,43,67,13,32,,17,,29,31,29
108,VIP trial_2018 Ê,ADA,ATA,2,33,M,,33,2018,0,96,43,67,13,32,,17,,29,31,29
114,ORION_2020Ê,PBO,PBO,0,16,L,0,16,2019,0,78,46,53,19,31,,18,,,,
114,ORION_2020Ê,GUSEL,AIL23,2,62,L,47,62,2019,0,78,46,53,19,31,,18,,,,
116,SustaIMM_2019,PBO,PBO,1,58,L,1,58,2019,0,171,52,143,,26.5,74,26,,,,38
116,SustaIMM_2019,RISAN,AIL23,4,113,L,85,113,2019,0,171,52,143,,26.5,74,26,,,,38
117,Ohtsuki_2017 Ê,APRE,SM,4,170,L,18,170,2017,0,254,50.5,202,13,25,70,21,,,,.
117,Ohtsuki_2017 Ê,PBO,PBO,0,84,L,1,84,2017,0,254,50.5,202,13,25,70,21,,,,.
118,Ohtsuki_2018,PBO,PBO,2,64,M,0,64,2018,0,192,49,145,14,25,71,26,191,96,115,35
118,Ohtsuki_2018,GUSEL,AIL23,2,128,M,90,128,2018,0,192,49,145,14,25,71,26,191,96,115,35
120,BE ABLE 1_2018,PBO,PBO,1,42,L,0,42,2018,0,250,44,163,15,,88,19,,122,90,58
120,BE ABLE 1_2018,BIME,AIL17,1,208,L,142,208,2018,0,250,44,163,15,,88,19,,122,90,58
121,Papp_2017b,RISAN,AIL23,11,126,H,78,126,2017,0,166,46,109,,.,90,20,,,,.
121,Papp_2017b,USK,AIL1223,3,40,H,16,40,2017,0,166,46,109,,.,90,20,,,,.
122,Papp_2018,DEUCRAVA,SM,3,222,L,69,222,2018,0,267,45,194,15,29,88,18,,,,115
122,Papp_2018,PBO,PBO,1,45,L,1,45,2018,0,267,45,194,15,29,88,18,,,,115
123,TRANSFIGURE_2016,PBO,PBO,2,65,L,1,65,2018,0,198,44,160,18.5,.,90.5,20,,,,46
123,TRANSFIGURE_2016,SECU,AIL17,4,133,L,84,133,2018,0,198,44,160,18.5,.,90.5,20,,,,46
124,IXORA-S_2017 Ê,IXE,AIL17,3,136,L,113,136,2017,0,302,43,202,18,29,87.5,20,,202,184,43
124,IXORA-S_2017 Ê,USK,AIL1223,5,166,L,98,166,2017,0,302,43,202,18,29,87.5,20,,202,184,43
125,ReSURFACE-1_2017,PBO,PBO,1,155,L,4,155,2017,0,772,47,533,,.,88.5,20,,,,177
125,ReSURFACE-1_2017,TILDRA,AIL23,13,617,L,216,617,2017,0,772,47,533,,.,88.5,20,,,,177
126,ReSURFACE-2_2017,PBO,PBO,4,156,L,2,156,2017,0,1090,45,554,,.,88.5,20,,,,134
126,ReSURFACE-2_2017,ETA,ATA,7,313,L,67,313,2017,0,1090,45,554,,.,88.5,20,,,,134
126,ReSURFACE-2_2017,TILDRA,AIL23,10,621,L,234,621,2017,0,1090,45,554,,.,88.5,20,,,,134
128,CIMPACT_2018,PBO,PBO,5,57,M,0,57,2018,0,559,46,381,18,30,89,21,,,,154
128,CIMPACT_2018,CERTO,ATA,5,332,M,108,332,2018,0,559,46,381,18,30,89,21,,,,154
128,CIMPACT_2018,ETA,ATA,1,170,M,46,170,2018,0,559,46,381,18,30,89,21,,,,154
130,IMMvent_2019,RISAN,AIL23,10,301,L,218,301,2019,0,605,46,422,,30.5,90,20,,,,229
130,IMMvent_2019,ADA,ATA,9,304,L,144,304,2019,0,605,46,422,,30.5,90,20,,,,229
131,IMMhance_2020,RISAN,AIL23,8,407,L,298,407,2020,0,507,49,356,,30.5,90.5,18,,,233,281
131,IMMhance_2020,PBO,PBO,8,100,L,2,100,2020,0,507,49,356,,30.5,90.5,18,,,233,281
135,CARIMA_2019,SECU,AIL17,1,102,H,27,102,2020,0,151,45.200001,102,20,29,89,19.5,,,129,52
135,CARIMA_2019,PBO,PBO,2,49,H,0,49,2020,0,151,45.200001,102,20,29,89,19.5,,,129,52
136,VIP-U trial_2020,PBO,PBO,,21,M,0,21,2020,0,43,42.5,30,18,33.5,100.5,20,,19,8,19
136,VIP-U trial_2020,USK,AIL1223,,22,M,9,22,2020,0,43,42.5,30,18,33.5,100.5,20,,19,8,19
138,VIP-S trial_2020,SECU,AIL17,2,46,L,34,46,2020,0,91,47.5,61,16,32,94.5,22,76,27,27,36
138,VIP-S trial_2020,PBO,PBO,0,45,L,0,45,2020,0,91,47.5,61,16,32,94.5,22,76,27,27,36
139,ALLURE_2021,PBO,PBO,2,71,L,1,71,2021,0,214,43.5,133,17,30.5,91,20.5,,,,.
139,ALLURE_2021,SECU,AIL17,1,143,L,98,143,2021,0,214,43.5,133,17,30.5,91,20.5,,,,.
140,Umezawa_2021,CERTO,ATA,2,101,L,66,101,2021,0,127,50,99,13,26.5,73,25,,,96,41
140,Umezawa_2021,PBO,PBO,1,26,L,0,26,2021,0,127,50,99,13,26.5,73,25,,,96,41
141,Cai_2020,PBO,PBO,2,135,L,2,135,2020,0,441,39.5,350,15.5,.,73,27,,,,80
141,Cai_2020,SECU,AIL17,14,408,L,295,408,2020,0,441,39.5,350,15.5,.,73,27,,,,80
142,ECLIPSE_2019,SECU,AIL17,37,514,L,391,514,2019,0,1048,46,707,18.5,30,,20,989,542,563,305
142,ECLIPSE_2019,GUSEL,AIL23,33,534,L,369,534,2019,0,1048,46,707,18.5,30,,20,989,542,563,305
145,STYLE_2020,PBO,PBO,1,102,L,,102,2020,0,303,47,187,15,31,,18,,66,89,86
145,STYLE_2020,APRE,SM,2,201,L,,201,2020,0,303,47,187,15,31,,18,,66,89,86
146,IXORA-R_2020,IXE,AIL17,18,520,L,378,520,2020,0,1027,49,652,17,33,95,19,725,140,310,270
146,IXORA-R_2020,GUSEL,AIL23,16,507,L,285,507,2020,0,1027,49,652,17,33,95,19,725,140,310,270
147,NCT03055494 ObePso-S,SECU,AIL17,1,54,L,29,54,2020,0,102,44.5,52,,.,,,,,,.
147,NCT03055494 ObePso-S,PBO,PBO,1,28,L,0,28,2020,0,102,44.5,52,,.,,,,,,.
148,IMMerge_2021,SECU,AIL17,6,163,M,107,163,2020,0,327,47,213,18,.,,20,,,,120
148,IMMerge_2021,RISAN,AIL23,9,164,M,121,164,2020,0,327,47,213,18,.,,20,,,,120
150,BE READY_2021,BIME,AIL17,6,349,L,317,349,2021,0,435,44,313,19.5,30,89.5,20.5,,,347,192
150,BE READY_2021,PBO,PBO,2,86,L,1,86,2021,0,435,44,313,19.5,30,89.5,20.5,,,347,192
151,BE VIVID_2021,BIME,AIL17,5,321,L,273,321,2021,0,567,46,406,17,29.5,88.5,21.5,,,463,221
151,BE VIVID_2021,USK,AIL1223,5,163,L,81,163,2021,0,567,46,406,17,29.5,88.5,21.5,,,463,221
151,BE VIVID_2021,PBO,PBO,2,83,L,4,83,2021,0,567,46,406,17,29.5,88.5,21.5,,,463,221
152,BE RADIANT_2021,SECU,AIL17,,370,L,275,370,2021,0,743,45,486,18,.,89.5,20,,,539,244
152,BE RADIANT_2021,BIME,AIL17,,373,L,319,373,2021,0,743,45,486,18,.,89.5,20,,,539,244
153,BE SURE_2021,ADA,ATA,5,159,L,82,159,2021,0,478,45,328,18,30.5,91,20,412,173,338,153
153,BE SURE_2021,BIME,AIL17,5,319,L,273,319,2021,0,478,45,328,18,30.5,91,20,412,173,338,153
156,NCT03421197,FUM,CSA,6,319,L,,319,2021,0,426,50,257,,.,,18,,,,.
156,NCT03421197,PBO,PBO,2,107,L,,107,2021,0,426,50,257,,.,,18,,,,.
158,NCT03535194,SECU,AIL17,11,448,L,326,448,2021,0,560,,393,,.,,,,,,.
158,NCT03535194,PBO,PBO,0,112,L,7,112,2021,0,560,,393,,.,,,,,,.
162,NCT02762994,PBO,PBO,,28,L,5,28,2021,0,120,40.5,79,,26,82,,,,,.
162,NCT02762994,NETA,AIL17,,92,L,60,92,2021,0,120,40.5,79,,26,82,,,,,.
163,NCT03364309,IXE,AIL17,3,350,L,277,350,2021,0,438,40.5,335,,.,,,,,,.
163,NCT03364309,PBO,PBO,3,88,L,2,88,2021,0,438,40.5,335,,.,,,,,,.
164,Blauvelt_2021,PBO,PBO,0,52,H,2,52,2021,0,157,49,87,18,32.5,94.300003,21.5,,,,70
164,Blauvelt_2021,RISAN,AIL23,1,105,H,66,105,2021,0,157,49,87,18,32.5,94.300003,21.5,,,,70
165,PLANETA_2021,NETA,AIL17,1,169,M,94,169,2021,0,213,41,156,9,28,87,19,,127,72,12
165,PLANETA_2021,PBO,PBO,0,44,M,0,44,2021,0,213,41,156,9,28,87,19,,127,72,12
166,Papp_2021,SONELO,AIL17,5,208,L,129,208,2021,0,313,46,228,18.5,.,91,21,,,,50
166,Papp_2021,SECU,AIL17,0,53,L,34,53,2021,0,313,46,228,18.5,.,91,21,,,,50
166,Papp_2021,PBO,PBO,1,52,L,0,52,2021,0,313,46,228,18.5,.,91,21,,,,50
167,NCT03589885 MATURE,PBO,PBO,0,40,L,2,40,2021,0,122,,85,,.,,,,,,.
167,NCT03589885 MATURE,SECU,AIL17,4,82,L,57,82,2021,0,122,,85,,.,,,,,,.
