rowID,studyID,armID,study_name,manga,study_year,pub_year,drug_name,Ntotal,Published,age_mean,age_sd,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,ascale,baseline_mean,V,mean_efficacy,Imputation,Responders,IMPUTEDresp,Unpublished,Recruitment,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,OverallRoB,PLAresp,Narms,PLAprop,Overall_arm_RoB,bipolar,PC,PLAprob,PC2,PC3,t,RiskOfBias
a13,5,3,Stahl2010 (CAGO178A2302),0,2008,2010,Plac,166,R can come both from pub and unpub data and match,43,13,1,Fixed,Licensed,No,Comparator,HAMD17,26,8,17,LOCF,54,0,Yes,North America,Multi-center,Outpatients only,Unclear,8,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,0,3,0,Moderate risk,0,1,0,0,1,Plac,l
a11,5,1,Stahl2010 (CAGO178A2302),0,2008,2010,agom,337,R can come both from pub and unpub data and match,44,12,1,Fixed,Licensed,Yes,Investigational,HAMD17,27,8,15,LOCF,141,0,Yes,North America,Multi-center,Outpatients only,Unclear,8,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,,3,0,Moderate risk,0,1,0,0,1,agom,l
a16,6,3,Zajecka2010 (CAGO178A2301) (NCT00411099),0,2008,2010,Plac,173,R can come both from pub and unpub data and match,43,12,1,Fixed,Licensed,No,Comparator,HAMD17,27,8,17,LOCF,63,0,Yes,North America,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,0,3,0,Low risk,0,1,0,0,1,Plac,l
a14,6,1,Zajecka2010 (CAGO178A2301) (NCT00411099),0,2008,2010,agom,338,R can come both from pub and unpub data and match,44,12,1,Fixed,Licensed,Yes,Investigational,HAMD17,27,8,16,LOCF,146,0,Yes,North America,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,3,0,Moderate risk,0,1,0,0,1,agom,l
a19,7,3,CL3-20098-024,0,2002,2002,Plac,158,No pub data and R from unpub data,42,11,1,Fixed,Licensed,No,Comparator,HAMD17,27,6,13,Others,91,0,Yes,,Multi-center,Both,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,1,4,0,Low risk,0,1,0,0,1,Plac,l
a17,7,1,CL3-20098-024,0,2002,2002,agom,301,No pub data and R from unpub data,40,11,1,Fixed,Licensed,Yes,Investigational,HAMD17,26,6,13,Others,175,0,Yes,,Multi-center,Both,No,24,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,4,0,Moderate risk,0,1,0,0,1,agom,l
a18,7,2,CL3-20098-024,0,2002,2002,fluo,148,No pub data and R from unpub data,41,10,1,Fixed,Licensed,No,Comparator,HAMD17,27,6,13,Others,89,0,Yes,,Multi-center,Both,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,4,0,Low risk,0,1,0,0,1,fluo,l
a20,8,1,Hale2010 (CL3-20098-045),0,2008,2008,agom,252,R can come both from pub and unpub data and match,42,11,1,Flexible,Licensed,Yes,Investigational,HAMD17,29,8,-17,LOCF,177,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a21,8,2,Hale2010 (CL3-20098-045),0,2008,2008,fluo,263,R can come both from pub and unpub data and match,43,12,1,Flexible,Licensed,No,Comparator,HAMD17,29,8,-16,LOCF,164,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,,2,0,Low risk,0,0,0,0,0,fluo,l
a23,9,2,CL3-20098-026,0,2001,2001,Plac,109,No pub data and R from unpub data,68,5,,Fixed,Licensed,No,Comparator,HAMD17,23,6,-10,Others,50,0,Yes,,Multi-center,Both,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,0,2,1,Low risk,0,1,1,1,0,Plac,l
a22,9,1,CL3-20098-026,0,2001,2001,agom,109,No pub data and R from unpub data,67,5,,Fixed,Licensed,Yes,Investigational,HAMD17,23,6,-11,Others,51,0,Yes,,Multi-center,Both,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,1,Moderate risk,0,1,1,1,0,agom,l
a24,10,1,Montgomery2004b (CL3-20098-030),0,2001,2001,agom,167,Inadequate pub data and R from unpub data,43,14,,Fixed,Licensed,Yes,Investigational,MADRS,23,12,-12,Others,106,0,Yes,,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a25,10,2,Montgomery2004b (CL3-20098-030),0,2001,2001,paro,168,Inadequate pub data and R from unpub data,42,13,,Fixed,Licensed,No,Comparator,MADRS,23,12,-14,Others,120,0,Yes,,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,,2,0,Low risk,0,0,0,0,0,paro,l
a26,11,1,CL3-20098-036,0,2004,2004,agom,137,No pub data and R from unpub data,40,10,1,Fixed,Licensed,Yes,Investigational,MADRS,28,12,-18,Others,113,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a27,11,2,CL3-20098-036,0,2004,2004,venl,140,No pub data and R from unpub data,42,10,1,Flexible,Licensed,No,Comparator,MADRS,28,12,-18,Others,111,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,,2,0,Low risk,0,0,0,0,0,venl,l
a28,12,1,CL3-20098-048,0,2008,2008,agom,213,No pub data and R from unpub data,69,6,,Flexible,Licensed,Yes,Investigational,HAMD17,26,12,-14,Others,127,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a29,12,2,CL3-20098-048,0,2008,2008,paro,199,No pub data and R from unpub data,68,6,,Flexible,Licensed,No,Comparator,HAMD17,26,12,-15,Others,118,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,,2,0,Low risk,0,0,0,0,0,paro,l
a30,13,1,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",0,2008,2014,agom,314,R can come both from pub and unpub data and match,39,13,1,Flexible,Licensed,Yes,Investigational,HAMD17,27,8,12,LOCF,205,0,Yes,Asia,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a31,13,2,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",0,2008,2014,fluo,314,R can come both from pub and unpub data and match,39,13,1,Flexible,Licensed,No,Comparator,HAMD17,27,8,12,LOCF,209,0,Yes,Asia,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,,2,0,Low risk,0,0,0,0,0,fluo,l
a32,14,1,Quera-Salva2010 (CL3-20098-056),0,2008,2010,agom,71,R can come both from pub and unpub data and match,41,12,,Flexible,Licensed,Yes,Investigational,HAMD17,26,6,11,Others,44,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a33,14,2,Quera-Salva2010 (CL3-20098-056),0,2008,2010,esci,67,R can come both from pub and unpub data and match,41,11,,Flexible,Licensed,No,Comparator,HAMD17,26,6,13,Others,36,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,,2,0,Low risk,0,0,0,0,0,esci,l
a34,15,1,CL3-20098-062,0,2010,2010,agom,202,No pub data and R from unpub data,43,12,,Flexible,Licensed,Yes,Investigational,HAMD17,26,8,-14,Others,131,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a35,15,2,CL3-20098-062,0,2010,2010,dulo,216,No pub data and R from unpub data,43,12,,Fixed,Licensed,No,Comparator,HAMD17,26,8,-16,Others,153,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,,Low risk,,2,0,Low risk,0,0,0,0,0,dulo,l
a36,16,1,Corruble2013 (CL3-20098-063),0,2008,2008,agom,164,R can come both from pub and unpub data and match,44,13,1,Flexible,Licensed,Yes,Investigational,HAMD17,27,12,-19,LOCF,134,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,0,0,0,0,agom,l
a37,16,2,Corruble2013 (CL3-20098-063),0,2008,2008,esci,160,R can come both from pub and unpub data and match,43,12,1,Flexible,Licensed,No,Comparator,HAMD17,27,12,-18,LOCF,128,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,,2,0,Low risk,0,0,0,0,0,esci,l
a41,18,2,CL3-20098-070,0,2011,2011,Plac,71,No pub data and R from unpub data,72,5,,Flexible,Licensed,No,Comparator,HAMD17,27,8,-11,Others,27,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,0,2,0,Low risk,0,1,1,1,0,Plac,l
a40,18,1,CL3-20098-070,0,2011,2011,agom,151,No pub data and R from unpub data,72,5,,Flexible,Licensed,Yes,Investigational,HAMD17,27,8,-13,Others,88,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,1,1,1,0,agom,l
a44,19,1,Lemoine2007 (CL3-20098-035),0,2004,2004,agom,165,R can come both from pub and unpub data and match,41,11,1,Fixed,Licensed,Yes,Investigational,HAMD17,26,6,10,LOCF,126,0,Yes,Europe,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,,4,0,High risk,0,0,0,0,0,agom,l
a45,19,2,Lemoine2007 (CL3-20098-035),0,2004,2004,venl,167,R can come both from pub and unpub data but do not match,40,10,1,Fixed,Licensed,No,Comparator,HAMD17,26,6,11,LOCF,115,0,Yes,Europe,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,,4,0,Moderate risk,0,0,0,0,0,venl,l
a48,20,3,CAGO178A2303 (NCT00463242),0,2008,,Plac,166,No pub data and R from unpub data,43,12,1,Flexible,Licensed,No,Comparator,HAMD17,27,8,17,LOCF,61,0,Yes,North America,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,0,3,0,Moderate risk,0,1,0,0,1,Plac,l
a46,20,1,CAGO178A2303 (NCT00463242),0,2008,,agom,169,No pub data and R from unpub data,42,13,1,Flexible,Licensed,Yes,Investigational,HAMD17,27,8,17,LOCF,70,0,Yes,North America,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,,3,0,Moderate risk,0,1,0,0,1,agom,l
a47,20,2,CAGO178A2303 (NCT00463242),0,2008,,paro,168,No pub data and R from unpub data,44,13,1,Flexible,Licensed,No,Comparator,HAMD17,27,8,14,LOCF,91,0,Yes,North America,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,,3,0,Moderate risk,0,1,0,0,1,paro,l
a52,21,2,Loo2002 (CL2-014),0,,2002,Plac,139,R from pub data and no or inadequate unpub data,42,,1,Fixed,Licensed,No,Comparator,HAMD17,27,8,15,LOCF,63,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,Yes,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,,0,0,Moderate risk,0,5,0,Moderate risk,1,1,0,0,1,Plac,l
a51,21,1,Loo2002 (CL2-014),0,,2002,agom,137,R from pub data and no or inadequate unpub data,42,,1,Fixed,Licensed,Yes,Investigational,HAMD17,27,8,13,LOCF,83,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,Yes,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,,0,0,Moderate risk,,5,0,Moderate risk,1,1,0,0,1,agom,l
a53,21,3,Loo2002 (CL2-014),0,,2002,paro,147,R from pub data and no or inadequate unpub data,42,,1,Fixed,Licensed,No,Comparator,HAMD17,27,8,13,LOCF,81,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,Yes,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,0,0,0,Moderate risk,,5,0,Moderate risk,1,1,0,0,1,paro,l
a57,22,3,Kennedy2014 (EudraCT 2009-011238-84),0,2009,2014,Plac,141,R from pub data and no or inadequate unpub data,45,13,1,Flexible,Licensed,No,Comparator,HAMD17,27,6,19,LOCF,35,0,No,,Multi-center,Outpatients only,Unclear,6,No,Unclear risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,0,4,0,Low risk,0,1,0,0,1,Plac,l
a55,22,1,Kennedy2014 (EudraCT 2009-011238-84),0,2009,2014,agom,275,R from pub data and no or inadequate unpub data,45,12,1,Mixed,Licensed,Yes,Investigational,HAMD17,27,6,14,LOCF,141,0,No,,Multi-center,Outpatients only,Unclear,6,No,Unclear risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,,4,0,Moderate risk,0,1,0,0,1,agom,l
a59,23,2,Heun2013 (lSRCTl\l5750736O),0,2009,2013,Plac,71,R from pub data and no or inadequate unpub data,72,5,1,Flexible,Licensed,No,Comparator,HAMD17,27,8,16,LOCF,27,0,No,,Multi-center,Outpatients only,Unclear,8,Yes,Unclear risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,0,2,0,Low risk,0,1,1,1,0,Plac,l
a58,23,1,Heun2013 (lSRCTl\l5750736O),0,2009,2013,agom,151,R from pub data and no or inadequate unpub data,72,5,1,Flexible,Licensed,Yes,Investigational,HAMD17,27,8,13,LOCF,88,0,No,,Multi-center,Outpatients only,Unclear,8,Yes,Unclear risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,1,1,1,0,agom,l
am02,24,2,Feighner1979,0,1979,1979,Plac,50,R from pub data and no or inadequate unpub data,41,,,Flexible,Licensed,No,Comparator,HAMD24,35,4,24,Others,16,0,No,North America,Multi-center,Outpatients only,Yes,4,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,0,4,0,Low risk,1,1,0,0,1,Plac,l
am01,24,1,Feighner1979,0,1979,1979,amit,93,R from pub data and no or inadequate unpub data,41,,,Flexible,Licensed,No,Comparator,HAMD24,36,4,19,Others,41,0,No,North America,Multi-center,Outpatients only,Yes,4,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,,4,0,Low risk,1,1,0,0,1,amit,l
am10,28,2,Shipley1981,0,1981,1981,Plac,23,R imputed from pub data and no or inadequate unpub data,40,14,,Fixed,Licensed,No,Comparator,HAMD17,44,4,32,Others,6,1,No,North America,Single center,Inpatients only,Yes,4,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,Moderate risk,0,2,0,Moderate risk,0,1,1,1,0,Plac,l
am09,28,1,Shipley1981,0,1981,1981,amit,53,R imputed from pub data and no or inadequate unpub data,39,13,,Fixed,Licensed,No,Investigational,HAMD17,39,4,9,Others,43,1,No,North America,Single center,Inpatients only,Yes,4,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,Moderate risk,,2,0,Moderate risk,0,1,1,1,0,amit,l
am16,31,2,Claghorn1983,0,1983,1983,Plac,87,R from pub data and no or inadequate unpub data,39,13,,Flexible,Licensed,No,Comparator,HAMD21,27,4,16,Others,36,0,No,North America,Multi-center,Outpatients only,Yes,4,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,0,3,0,Low risk,0,1,0,0,1,Plac,l
am15,31,1,Claghorn1983,0,1983,1983,amit,85,R from pub data and no or inadequate unpub data,39,13,,Flexible,Licensed,No,Comparator,HAMD21,27,4,11,Others,49,0,No,North America,Multi-center,Outpatients only,Yes,4,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,,3,0,Low risk,0,1,0,0,1,amit,l
am22,33,2,Hormazabal1985,0,1985,1985,Plac,20,R imputed from pub data and no or inadequate unpub data,42,15,,Flexible,Licensed,No,Comparator,HAMD21,36,4,20,Others,6,1,No,South America,Unclear,Both,Unclear,4,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,0,3,0,Low risk,0,1,0,0,1,Plac,l
am21,33,1,Hormazabal1985,0,1985,1985,amit,20,R imputed from pub data and no or inadequate unpub data,44,15,,Flexible,Licensed,No,Comparator,HAMD21,37,4,12,Others,13,1,No,South America,Unclear,Both,Unclear,4,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,,3,0,Low risk,0,1,0,0,1,amit,l
am26,35,2,Rickels1985,0,1985,1985,Plac,130,R from pub data and no or inadequate unpub data,39,12,,Flexible,Licensed,No,Comparator,HAMD21,26,6,19,Others,44,0,No,North America,Multi-center,Outpatients only,Yes,6,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Moderate risk,0,3,0,Moderate risk,0,1,0,0,1,Plac,l
am25,35,1,Rickels1985,0,1985,1985,amit,124,R from pub data and no or inadequate unpub data,39,12,,Flexible,Licensed,No,Comparator,HAMD21,25,6,15,Others,85,0,No,North America,Multi-center,Outpatients only,Yes,6,No,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Moderate risk,,3,0,Moderate risk,0,1,0,0,1,amit,l
am28,36,2,Amsterdam1986,0,1986,1986,Plac,54,R from pub data and no or inadequate unpub data,41,12,,Flexible,Licensed,No,Comparator,HAMD21,23,4,18,Others,15,0,No,North America,Single center,Outpatients only,Yes,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Moderate risk,0,3,0,Moderate risk,0,1,0,0,1,Plac,l
am27,36,1,Amsterdam1986,0,1986,1986,amit,55,R from pub data and no or inadequate unpub data,41,12,,Flexible,Licensed,No,Comparator,HAMD21,25,4,12,Others,31,0,No,North America,Single center,Outpatients only,Yes,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Moderate risk,,3,0,Moderate risk,0,1,0,0,1,amit,l
am30,37,2,Hicks1988,0,1988,1988,Plac,15,R imputed from pub data and no or inadequate unpub data,41,,,Flexible,Licensed,No,Comparator,HAMD17,29,6,,OC,5,1,No,North America,Single center,Inpatients only,Yes,6,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Moderate risk,0,3,0,Moderate risk,0,1,0,0,1,Plac,l
