,studlab,treat1,treat2,TE,seTE,n1,mean1,sd1,n2,mean2,sd2,Study_No,Study_ID,Drug1,Drug2,OverallEfficM1,OverallEfficM2,OverallEfficSD1,OverallEfficSD2,OverallEfficN1,OverallEfficN2,No_randomised1,No_randomised2,rob,year
19,550,Haloperidol,Olanzapine,-5.3,8.469865783,13,62.7,20.7,14,68,23.3,550,Bernardo 2001,Haloperidol,Olanzapine,62.7,68,20.7,23.3,13,14,13,14,1,2000
20,551,Amisulpride,Olanzapine,4.5,2.136717693,40,37.7,9.67,40,33.2,9.44,551,Bhowmick 2010,Amisulpride,Olanzapine,37.7,33.2,9.67,9.44,39,38,40,40,1,2000
21,555,Haloperidol,Levomepromazine,-4,8.517371604,20,-26.6,27.6,21,-22.6,26.9,555,Blin 1996,Haloperidol,Levomepromazine,-26.6,-22.6,27.6,26.9,20,21,20,21,1,2000
22,555,Haloperidol,Risperidone,18.1,8.532425547,20,-26.6,27.6,21,-44.7,27,555,Blin 1996,Haloperidol,Risperidone,-26.6,-44.7,27.6,27,20,21,20,21,1,2000
23,555,Levomepromazine,Risperidone,22.1,8.316964877,21,-22.6,26.9,21,-44.7,27,555,Blin 1996,Levomepromazine,Risperidone,-22.6,-44.7,26.9,27,21,21,21,21,1,2000
24,557,Haloperidol,Placebo,-2,8.045224025,8,-15,16.09044805,8,-13,16.09044805,557,Borison 1989,Haloperidol,Placebo,-15,-13,16.09044805,16.09044805,5,4,8,8,1,2000
25,557,Haloperidol,Thioridazine,9,8.045224025,8,-15,16.09044805,8,-24,16.09044805,557,Borison 1989,Haloperidol,Thioridazine,-15,-24,16.09044805,16.09044805,5,7,8,8,1,2000
26,557,Placebo,Thioridazine,11,8.045224025,8,-13,16.09044805,8,-24,16.09044805,557,Borison 1989,Placebo,Thioridazine,-13,-24,16.09044805,16.09044805,4,7,8,8,1,2000
27,47,Chlorpromazine,Placebo,-4.1,2.519126833,9,46.4,4.5,10,50.5,6.4,47,Borison 1991a,Chlorpromazine,Placebo,46.4,50.5,4.5,6.4,9,10,9,10,1,2000
28,559,Haloperidol,Placebo,-8.4,3.187330906,53,-9,16.32,54,-0.6,16.65,559,Borison 1992,Haloperidol,Placebo,-9,-0.6,16.32,16.65,53,54,53,54,1,2000
29,559,Haloperidol,Risperidone,2.6,3.202489892,53,-9,16.32,53,-11.6,16.65,559,Borison 1992,Haloperidol,Risperidone,-9,-11.6,16.32,16.65,53,53,53,53,1,2000
30,559,Placebo,Risperidone,11,3.219373108,54,-0.6,16.65,53,-11.6,16.65,559,Borison 1992,Placebo,Risperidone,-0.6,-11.6,16.65,16.65,54,53,54,53,1,2000
31,560,Placebo,Quetiapine,6,3.333375757,55,-2.1,17.4,54,-8.1,17.4,560,Borison 1996,Placebo,Quetiapine,-2.1,-8.1,17.4,17.4,53,53,55,54,1,2000
32,51,Haloperidol,Olanzapine,-5.9,4.971537339,13,56.1,12.97,14,62,12.84,51,Boulay 2007,Haloperidol,Olanzapine,56.1,62,12.97,12.84,10,14,13,14,1,2000
33,1239,Molindone,Trifluoperazine,2.9,4.954445151,12,32.5,12.37620002,13,29.6,12.37620002,1239,Brauzer 1971,Molindone,Trifluoperazine,32.5,29.6,12.37620002,12.37620002,8,11,12,13,1,2000
34,54,Olanzapine,Ziprasidone,-9.7,2.342664723,277,-35.7,26.52,271,-26,28.27,54,Breier 2005,Olanzapine,Ziprasidone,-35.7,-26,26.52,28.27,268,261,277,271,1,2000
35,1187,Haloperidol,Zuclopenthixol,0.54,1.825673164,20,-5.5,6.03,24,-6.04,6.03,1187,Brook 1998,Haloperidol,Zuclopenthixol,-5.5,-6.04,6.03,6.03,20,24,20,24,1,2000
36,56,Haloperidol,Ziprasidone,-0.8,1.649009037,138,-15.79,15.99,429,-14.99,19.28,56,Brook 2005,Haloperidol,Ziprasidone,-15.79,-14.99,15.99,19.28,138,429,138,429,1,2000
37,1243,Haloperidol,Loxapine,-8.69,3.586991178,20,24.37,11.34306207,20,33.06,11.34306207,1243,Bueno 1979,Haloperidol,Loxapine,24.37,33.06,11.34306207,11.34306207,19,19,20,20,1,2000
38,59,Olanzapine,Placebo,-3,2.829507423,63,-14.9,16.64,79,-11.9,16.89,59,Bugarski-Kirola,Olanzapine,Placebo,-14.9,-11.9,16.64,16.89,61,79,63,79,1,2000
39,3279,Olanzapine,Risperidone,-12.8,11.23809982,5,57.8,16.75277009,4,70.6,16.75277009,3279,Canive 2006,Olanzapine,Risperidone,57.8,70.6,16.75277009,16.75277009,5,4,5,4,1,2000
40,998,Aripiprazole,Placebo,3.94,6.279242472,20,82.37,22.13,39,78.43,24.14,998,Cantillon 2014,Aripiprazole,Placebo,82.37,78.43,22.13,24.14,19,37,20,39,1,2000
41,1245,Sulpiride,Thioridazine,5,2.610633328,20,11,8.255547451,20,6,8.255547451,1245,Carranza 1974,Sulpiride,Thioridazine,11,6,8.255547451,8.255547451,16,18,20,20,1,2000
42,574,Amisulpride,Haloperidol,-5.4,2.590288347,94,-27.3,18.1,105,-21.9,18.4,574,"Carri,Amisulpride""",Haloperidol,-27.3,-21.9,18.1,18.4,91,103,94,105,,1,2000
43,65,Placebo,Risperidone,10.4,2.020587145,119,-5.3,16.3,120,-15.7,14.9,65,Casey 2008,Placebo,Risperidone,-5.3,-15.7,16.3,14.9,114,116,119,120,1,2000
44,578,Haloperidol,Risperidone,-3.9,2.174553718,31,28.58,6.46,31,32.48,10.24,578,Ceskova 1993,Haloperidol,Risperidone,28.58,32.48,6.46,10.24,31,31,31,31,1,2000
45,68,Aripiprazole,Risperidone,1.5,3.909758622,49,-19.6,18.1,34,-21.1,17.1,68,Chan 2007,Aripiprazole,Risperidone,-19.6,-21.1,18.1,17.1,49,34,49,34,1,2000
46,71,Loxapine,Placebo,-0.67,7.333077888,20,41.11,22.89,19,41.78,22.89,71,"Charalampous 1974, 00559",Loxapine,Placebo,41.11,41.78,22.89,22.89,20,19,20,19,1,2000
47,71,Loxapine,Tiotixene,12.99,7.15176237,20,41.11,22.89,21,28.12,22.89,71,"Charalampous 1974, 00559",Loxapine,Tiotixene,41.11,28.12,22.89,22.89,20,21,20,21,1,2000
48,71,Placebo,Tiotixene,13.66,7.247518632,19,41.78,22.89,21,28.12,22.89,71,"Charalampous 1974, 00559",Placebo,Tiotixene,41.78,28.12,22.89,22.89,19,21,19,21,1,2000
49,1340,Fluphenazine,Pimozide,2.1,5.53480491,10,33,12.37620002,10,30.9,12.37620002,1340,Chouinard 1970,Fluphenazine,Pimozide,33,30.9,12.37620002,12.37620002,10,10,10,10,1,2000
50,583,Perphenazine,Placebo,-10.7,3.572701207,24,29.6,12.37620002,24,40.3,12.37620002,583,Chouinard 1975,Perphenazine,Placebo,29.6,40.3,12.37620002,12.37620002,24,24,24,24,1,2000
51,3386,Chlorpromazine,Penfluridol,-0.6,3.995272999,19,26.3,11.34306207,14,26.9,11.34306207,3386,Chouinard 1976,Chlorpromazine,Penfluridol,26.3,26.9,11.34306207,11.34306207,15,14,19,14,1,2000
52,1191,Chlorpromazine,Pimozide,-6.5,3.734649917,20,30.3,11.81,20,36.8,11.81,1191,Chouinard 1982,Chlorpromazine,Pimozide,30.3,36.8,11.81,11.81,20,20,20,20,1,2000
53,75,Haloperidol,Placebo,-13.9,7.125873532,21,-9.3,27.7,22,4.6,17.7,75,Chouinard 1993,Haloperidol,Placebo,-9.3,4.6,27.7,17.7,21,22,21,22,1,2000
54,75,Haloperidol,Risperidone,16.4,8.738596775,21,-9.3,27.7,22,-25.7,29.6,75,Chouinard 1993,Haloperidol,Risperidone,-9.3,-25.7,27.7,29.6,21,22,21,22,1,2000
55,75,Placebo,Risperidone,30.3,7.352952406,22,4.6,17.7,22,-25.7,29.6,75,Chouinard 1993,Placebo,Risperidone,4.6,-25.7,17.7,29.6,22,22,22,22,1,2000
56,591,Chlorpromazine,Molindone,-1.87,3.173393557,15,33.84,8.8,15,35.71,8.58,591,Clark 1970a,Chlorpromazine,Molindone,33.84,35.71,8.8,8.58,14,15,15,15,1,2000
57,591,Chlorpromazine,Placebo,-7.91,3.270182753,15,33.84,8.8,14,41.75,8.8,591,Clark 1970a,Chlorpromazine,Placebo,33.84,41.75,8.8,8.8,14,14,15,14,1,2000
58,591,Molindone,Placebo,-6.04,3.230973316,15,35.71,8.58,14,41.75,8.8,591,Clark 1970a,Molindone,Placebo,35.71,41.75,8.58,8.8,15,14,15,14,1,2000
59,82,Chlorpromazine,Placebo,-10.7,4.771948132,32,36.5,15.9,17,47.2,15.9,82,Clark 1970b,Chlorpromazine,Placebo,36.5,47.2,15.9,15.9,32,17,32,17,1,2000
60,83,Chlorpromazine,Fluphenazine,-2.6,3.468052159,23,32.05,11.34306207,20,34.65,11.34306207,83,Clark 1971a,Chlorpromazine,Fluphenazine,32.05,34.65,11.34306207,11.34306207,20,18,23,20,1,2000
61,83,Chlorpromazine,Placebo,-5.43,3.423600502,23,32.05,11.34306207,21,37.48,11.34306207,83,Clark 1971a,Chlorpromazine,Placebo,32.05,37.48,11.34306207,11.34306207,20,18,23,21,1,2000
62,83,Chlorpromazine,Thioridazine,2.42,3.382683048,23,32.05,11.34306207,22,29.63,11.34306207,83,Clark 1971a,Chlorpromazine,Thioridazine,32.05,29.63,11.34306207,11.34306207,20,19,23,22,1,2000
63,83,Fluphenazine,Placebo,-2.83,3.54403165,20,34.65,11.34306207,21,37.48,11.34306207,83,Clark 1971a,Fluphenazine,Placebo,34.65,37.48,11.34306207,11.34306207,18,18,20,21,1,2000
64,83,Fluphenazine,Thioridazine,5.02,3.504520587,20,34.65,11.34306207,22,29.63,11.34306207,83,Clark 1971a,Fluphenazine,Thioridazine,34.65,29.63,11.34306207,11.34306207,18,19,20,22,1,2000
65,83,Placebo,Thioridazine,7.85,3.460537411,21,37.48,11.34306207,22,29.63,11.34306207,83,Clark 1971a,Placebo,Thioridazine,37.48,29.63,11.34306207,11.34306207,18,19,21,22,1,2000
66,84,Chlorpromazine,Loxapine,3.05,3.730938735,19,39.29,11.34306207,18,36.24,11.34306207,84,Clark 1972,Chlorpromazine,Loxapine,39.29,36.24,11.34306207,11.34306207,17,18,19,18,1,2000
67,84,Chlorpromazine,Placebo,-1.89,3.730938735,19,39.29,11.34306207,18,41.18,11.34306207,84,Clark 1972,Chlorpromazine,Placebo,39.29,41.18,11.34306207,11.34306207,17,16,19,18,1,2000
68,84,Loxapine,Placebo,-4.94,3.78102069,18,36.24,11.34306207,18,41.18,11.34306207,84,Clark 1972,Loxapine,Placebo,36.24,41.18,11.34306207,11.34306207,18,16,18,18,1,2000
69,104,Loxapine,Placebo,-3.54,4.298253431,15,29.38,11.34306207,13,32.92,11.34306207,104,Clark 1975,Loxapine,Placebo,29.38,32.92,11.34306207,11.34306207,13,12,15,13,1,2000
70,104,Loxapine,Trifluoperazine,4.46,4.141900645,15,29.38,11.34306207,15,24.92,11.34306207,104,Clark 1975,Loxapine,Trifluoperazine,29.38,24.92,11.34306207,11.34306207,13,12,15,15,1,2000
71,104,Placebo,Trifluoperazine,8,4.298253431,13,32.92,11.34306207,15,24.92,11.34306207,104,Clark 1975,Placebo,Trifluoperazine,32.92,24.92,11.34306207,11.34306207,12,12,13,15,1,2000
72,105,Loxapine,Placebo,-5.91956522,3.878648524,25,27.08043478,11.34306207,13,33,11.34306207,105,"Clark 1977 12 weeks, 02912",Loxapine,Placebo,27.08043478,33,11.34306207,11.34306207,23,13,25,13,1,2000
73,106,Chlorpromazine,Placebo,-14.63,6.921600048,9,32.73,14.57,9,47.36,14.795,106,Clark 1977a,Chlorpromazine,Placebo,32.73,47.36,14.57,14.795,9,9,9,9,1,2000
74,107,Haloperidol,Risperidone,-2.6,6.078468707,22,74.3,20.16,22,76.9,20.16,107,Claus 1992,Haloperidol,Risperidone,74.3,76.9,20.16,20.16,21,21,22,22,1,2000
75,112,Olanzapine,Risperidone,-0.1,1.648094513,189,-12.9,16.1,188,-12.8,15.9,112,Conley 2001,Olanzapine,Risperidone,-12.9,-12.8,16.1,15.9,181,175,189,188,1,2000
76,115,Chlorpromazine,Placebo,-1.4,3.449090665,53,-4.3,19.1,53,-2.9,16.3,115,Cooper 2000a,Chlorpromazine,Placebo,-4.3,-2.9,19.1,16.3,53,53,53,53,1,2000
77,115,Chlorpromazine,Zotepine,12.5,3.327472836,53,-4.3,19.1,53,-16.8,14.9,115,Cooper 2000a,Chlorpromazine,Zotepine,-4.3,-16.8,19.1,14.9,53,53,53,53,1,2000
78,115,Placebo,Zotepine,13.9,3.03346119,53,-2.9,16.3,53,-16.8,14.9,115,Cooper 2000a,Placebo,Zotepine,-2.9,-16.8,16.3,14.9,53,53,53,53,1,2000
79,117,Haloperidol,Quetiapine,-3.4,2.276937297,227,-22.1,24.12,221,-18.7,24.07,117,Copolov 2000,Haloperidol,Quetiapine,-22.1,-18.7,24.12,24.07,219,218,227,221,1,2000
80,1056,Brexpiprazole,Placebo,-8.18301676,1.912125038,362,-20.19301676,20.65844137,184,-12.01,21.35,1056,Correll 2015,Brexpiprazole,Placebo,-20.19301676,-12.01,20.65844137,21.35,358,178,362,184,1,2000
81,4863,Lumateperone,Placebo,-4.2,1.804930285,150,-14.5,15.82,150,-10.3,15.44,4863,Correll 2020,Lumateperone,Placebo,-14.5,-10.3,15.82,15.44,148,141,150,150,1,2000
82,118,Olanzapine,Placebo,-18.9,5.561955826,93,-31.5,37.29,87,-12.6,37.29,118,Corrigan 2004,Olanzapine,Placebo,-31.5,-12.6,37.29,37.29,93,85,93,87,1,2000
83,1000,Haloperidol,Ziprasidone,-3.1,7.492066547,10,58,16.75277009,10,61.1,16.75277009,1000,Corripio 2005,Haloperidol,Ziprasidone,58,61.1,16.75277009,16.75277009,10,10,10,10,1,2000
84,629,Amisulpride,Haloperidol,-6.3,5.953990259,20,-39,15,20,-32.7,22,629,Costa e Silva 1989,Amisulpride,Haloperidol,-39,-32.7,15,22,18,18,20,20,1,2000
85,632,Aripiprazole,Placebo,-6,2.717414575,94,-11.3,18.32,88,-5.3,18.32,632,Cutler 2006,Aripiprazole,Placebo,-11.3,-5.3,18.32,18.32,94,85,94,88,1,2000
86,633,Iloperidone,Placebo,-4.9,1.796059594,303,-12,18.07,152,-7.1,18.07,633,Cutler 2008,Iloperidone,Placebo,-12,-7.1,18.07,18.07,283,140,303,152,1,2000
87,633,Iloperidone,Ziprasidone,0.3,2.015562844,303,-12,18.07,151,-12.3,21.23,633,Cutler 2008,Iloperidone,Ziprasidone,-12,-12.3,18.07,21.23,283,144,303,151,1,2000
88,633,Placebo,Ziprasidone,5.2,2.26562216,152,-7.1,18.07,151,-12.3,21.23,633,Cutler 2008,Placebo,Ziprasidone,-7.1,-12.3,18.07,21.23,140,144,152,151,1,2000
89,992,Placebo,Quetiapine,2.40965358,2.127247955,117,-12.5,20.48923902,448,-14.90965358,20.48923902,992,Cutler 2008a,Placebo,Quetiapine,-12.5,-14.90965358,20.48923902,20.48923902,111,433,117,448,1,2000
90,127,Placebo,Ziprasidone,11,3.123630683,92,-6,23.85,104,-17,19.28,127,Daniel 1999,Placebo,Ziprasidone,-6,-17,23.85,19.28,91,103,92,104,1,2000
91,129,Olanzapine,Paliperidone,-1.8,2.650445609,128,-18.1,20.3,125,-16.3,21.81,129,Davidson 2007,Olanzapine,Paliperidone,-18.1,-16.3,20.3,21.81,126,123,128,125,1,2000
92,129,Olanzapine,Placebo,-15.3,2.602067243,128,-18.1,20.3,123,-2.8,20.9,129,Davidson 2007,Olanzapine,Placebo,-18.1,-2.8,20.3,20.9,126,120,128,123,1,2000
93,129,Paliperidone,Placebo,-13.5,2.712325499,125,-16.3,21.81,123,-2.8,20.9,129,Davidson 2007,Paliperidone,Placebo,-16.3,-2.8,21.81,20.9,123,120,125,123,1,2000
94,3318,Clopenthixol,Perphenazine,4.9,3.500517984,25,41,12.37620002,25,36.1,12.37620002,3318,Dehnel 1968,Clopenthixol,Perphenazine,41,36.1,12.37620002,12.37620002,25,25,25,25,1,2000
95,643,Amisulpride,Haloperidol,-4.5,2.596687863,21,-25.6,7.8,20,-21.1,8.77,643,Delcker 1990,Amisulpride,Haloperidol,-25.6,-21.1,7.8,8.77,20,17,21,20,1,2000
96,3114,Placebo,Risperidone,8.23,2.988899056,74,-10.82,15.11,37,-19.05,14.71,3114,"DeMartinis 2012 (same as Walling 2019_keep, rename and connect to Citavi after data merging)",Placebo,Risperidone,-10.82,-19.05,15.11,14.71,63,26,74,37,1,2000
97,134,Perazine,Zotepine,-0.4,0.780966869,20,1.7,2.236,20,2.1,2.683,134,Dieterle 1991,Perazine,Zotepine,1.7,2.1,2.236,2.683,20,20,20,20,1,2000
98,136,Fluphenazine,Olanzapine,16.2,7.642032888,30,-29.5,31.9,30,-45.7,27.1,136,Dossenbach 2004,Fluphenazine,Olanzapine,-29.5,-45.7,31.9,27.1,27,27,30,30,1,2000
99,1010,Placebo,Risperidone,8.7,2.186543886,295,-7.9,21.45854,143,-16.6,21.45854,1010,Downing 2014,Placebo,Risperidone,-7.9,-16.6,21.45854,21.45854,253,124,295,143,1,2000
100,1260,Chlorpromazine,Loxapine,-0.93,3.43254029,26,18.88,12.37620002,26,19.81,12.37620002,1260,Dube 1976,Chlorpromazine,Loxapine,18.88,19.81,12.37620002,12.37620002,26,26,26,26,1,2000
101,649,Cariprazine,Placebo,-8.91882353,2.036129511,438,-22.21882353,20.63865838,151,-13.3,21.89,649,Durgam 2014,Cariprazine,Placebo,-22.21882353,-13.3,20.63865838,21.89,425,148,438,151,1,2000
102,649,Cariprazine,Risperidone,7.08117647,1.954757293,438,-22.21882353,20.63865838,140,-29.3,19.97,649,Durgam 2014,Cariprazine,Risperidone,-22.21882353,-29.3,20.63865838,19.97,425,138,438,140,1,2000
103,649,Placebo,Risperidone,16,2.453956606,151,-13.3,21.89,140,-29.3,19.97,649,Durgam 2014,Placebo,Risperidone,-13.3,-29.3,21.89,19.97,148,138,151,140,1,2000
104,4296,Asenapine,Clozapine,6.2,3.713140632,41,76.7,16.9,38,70.5,16.1,4296,Dutta 2014,Asenapine,Clozapine,76.7,70.5,16.9,16.1,41,38,41,38,1,2000
105,4296,Asenapine,Ziprasidone,4.3,3.700013184,41,76.7,16.9,40,72.4,16.4,4296,Dutta 2014,Asenapine,Ziprasidone,76.7,72.4,16.9,16.4,41,40,41,40,1,2000
106,4296,Clozapine,Ziprasidone,-1.9,3.680396146,38,70.5,16.1,40,72.4,16.4,4296,Dutta 2014,Clozapine,Ziprasidone,70.5,72.4,16.1,16.4,38,40,38,40,1,2000
107,1265,Sulpiride,Trifluoperazine,-4.6,3.680175298,19,31.5,11.34306207,19,36.1,11.34306207,1265,Edwards 1980,Sulpiride,Trifluoperazine,31.5,36.1,11.34306207,11.34306207,17,18,19,19,1,2000
108,140,Olanzapine,Placebo,-4.3,3.568835722,47,-17,19.47,83,-12.7,19.69,140,Egan 2013,Olanzapine,Placebo,-17,-12.7,19.47,19.69,45,78,47,83,1,2000
109,3687,Olanzapine,Placebo,-5.3,1.838502334,133,-22.8,14.82,134,-17.5,15.22,3687,ENLIGHTEN-1,Olanzapine,Placebo,-22.8,-17.5,14.82,15.22,132,133,133,134,1,2000
110,146,Clozapine,Haloperidol,-9,3.918599399,19,36,12.37620002,21,45,12.37620002,146,Erlandsen 1981,Clozapine,Haloperidol,36,45,12.37620002,12.37620002,19,21,19,21,1,2000
111,659,Placebo,Quetiapine,16.2,7.251982488,4,-4.7,13.2,8,-20.9,8.5,659,Fabre 1995,Placebo,Quetiapine,-4.7,-20.9,13.2,8.5,4,8,4,8,1,2000
112,6370,Lurasidone,Risperidone,3.7,1.406782723,194,-31.2,13.93,194,-34.9,13.78,6370,Feng 2019,Lurasidone,Risperidone,-31.2,-34.9,13.93,13.78,194,190,194,194,1,2000
113,156,Haloperidol,Zotepine,-7,3.913698084,20,28,12.37620002,20,35,12.37620002,156,Fleischhacker 1989,Haloperidol,Zotepine,28,35,12.37620002,12.37620002,20,20,20,20,1,2000
114,981,Aripiprazole,Olanzapine,5.45,2.739805315,355,-29.28,36.32,348,-34.73,36.32,981,Fleischhacker 2009_52weeks,Aripiprazole,Olanzapine,-29.28,-34.73,36.32,36.32,347,344,355,348,1,2000
115,1277,Molindone,Trifluoperazine,-5,5.088246441,20,-23,16.09044805,20,-18,16.09044805,1277,Freeman 1969,Molindone,Trifluoperazine,-23,-18,16.09044805,16.09044805,20,18,20,20,1,2000
116,163,Haloperidol,Placebo,-15.58,4.171795976,60,-28.16,23.23,64,-12.58,23.2,163,Garcia 2009,Haloperidol,Placebo,-28.16,-12.58,23.23,23.2,58,61,60,64,1,2000
117,165,Flupentixol,Olanzapine,-1.5,5.484369398,13,-20.6,12.1,15,-19.1,16.8,165,Gattaz 2004,Flupentixol,Olanzapine,-20.6,-19.1,12.1,16.8,12,13,13,15,1,2000
118,674,Placebo,Risperidone,11.8,3.427717003,93,-14.4,23.13,91,-26.2,23.36,674,Geffen 2012,Placebo,Risperidone,-14.4,-26.2,23.13,23.36,93,91,93,91,1,2000
119,167,Chlorpromazine,Clozapine,12,5.870592354,8,39,11.34306207,7,27,11.34306207,167,Gelenberg 1979,Chlorpromazine,Clozapine,39,27,11.34306207,11.34306207,8,7,8,7,1,2000
120,168,Clozapine,Haloperidol,-3.72,5.53480491,10,39.25,12.37620002,10,42.97,12.37620002,168,Gerlach 1974,Clozapine,Haloperidol,39.25,42.97,12.37620002,12.37620002,10,10,10,10,1,2000
121,170,Clozapine,Haloperidol,-10.56,9.915297747,17,-48.43,25.24,17,-37.87,32.16,170,Ghaleiha 2011,Clozapine,Haloperidol,-48.43,-37.87,25.24,32.16,16,16,17,17,1,2000
122,170,Clozapine,Risperidone,-4.81,9.568207159,17,-48.43,25.24,17,-43.62,30.32,170,Ghaleiha 2011,Clozapine,Risperidone,-48.43,-43.62,25.24,30.32,16,16,17,17,1,2000
123,170,Haloperidol,Risperidone,5.75,10.71987708,17,-37.87,32.16,17,-43.62,30.32,170,Ghaleiha 2011,Haloperidol,Risperidone,-37.87,-43.62,32.16,30.32,16,16,17,17,1,2000
124,173,Haloperidol,Ziprasidone,0.3,4.966120512,17,-11.6,15.1,20,-11.9,15,173,Goff 1998,Haloperidol,Ziprasidone,-11.6,-11.9,15.1,15,17,20,17,20,1,2000
125,3445,Thioridazine,Tiotixene,5.37,1.524513808,27,16.7,5.601421402,27,11.33,5.601421402,3445,Granacher 1982,Thioridazine,Tiotixene,16.7,11.33,5.601421402,5.601421402,18,23,27,27,1,2000
126,684,Olanzapine,Ziprasidone,-2.29,2.70711192,35,-17.15,10.25,39,-14.86,12.99,684,Grootens 2009,Olanzapine,Ziprasidone,-17.15,-14.86,10.25,12.99,33,34,35,39,1,2000
127,179,Olanzapine,Risperidone,-11.9,4.6444819,32,-28.2,20.8,33,-16.3,16.3,179,Gureje 2003,Olanzapine,Risperidone,-28.2,-16.3,20.8,16.3,32,30,32,33,1,2000
128,1020,Haloperidol,Pimozide,3.48837209,4.599140438,15,35.33704078,12.37620002,14,31.84866869,12.37620002,1020,Haas 1982,Haloperidol,Pimozide,35.33704078,31.84866869,12.37620002,12.37620002,15,14,15,14,1,2000
129,180,Haloperidol,Sertindole,-0.86,2.777210122,125,-22.8,23.57,255,-21.94,28.87,180,Hale 2000,Haloperidol,Sertindole,-22.8,-21.94,23.57,28.87,123,241,125,255,1,2000
130,1296,Fluphenazine,Haloperidol,1.5,3.500517984,25,45.3,12.37620002,25,43.8,12.37620002,1296,Hall 1968,Fluphenazine,Haloperidol,45.3,43.8,12.37620002,12.37620002,25,25,25,25,1,2000
