studyID,armID,study_name,manga,study_year,pub_year,drug_name,Responders,Ntotal,Published,age_mean,age_sd,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,baseline_mean,V,mean_efficacy,Imputation,IMPUTEDresp,Unpublished,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,RoB,OverallRoB,Narms,PLAprop,Overall_arm_RoB,PC,PLAprob,PC2,PC3,t,rowID
14,2,"
Quera-Salva2010 (CL3-20098-056)",0,2008,2010,esci,36,67,R can come both from pub and unpub data and match,41,11,,Flexible,Licensed,No,Comparator,26,6,13,Others,0,Yes,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,esci,a33
15,1,CL3-20098-062,0,2010,2010,agom,131,202,No pub data and R from unpub data,43,12,,Flexible,Licensed,Yes,Investigational,26,8,-14,Others,0,Yes,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a34
15,2,CL3-20098-062,0,2010,2010,dulo,153,216,No pub data and R from unpub data,43,12,,Fixed,Licensed,No,Comparator,26,8,-16,Others,0,Yes,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,,l,Low risk,2,0,Low risk,0,0,0,0,dulo,a35
16,1,Corruble2013 (CL3-20098-063),0,2008,2008,agom,134,164,R can come both from pub and unpub data and match,44,13,1,Flexible,Licensed,Yes,Investigational,27,12,-19,LOCF,0,Yes,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a36
16,2,Corruble2013 (CL3-20098-063),0,2008,2008,esci,128,160,R can come both from pub and unpub data and match,43,12,1,Flexible,Licensed,No,Comparator,27,12,-18,LOCF,0,Yes,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,esci,a37
19,1,Lemoine2007 (CL3-20098-035),0,2004,2004,agom,126,165,R can come both from pub and unpub data and match,41,11,1,Fixed,Licensed,Yes,Investigational,26,6,10,LOCF,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,m,Moderate risk,4,0,High risk,0,0,0,0,agom,a44
19,2,Lemoine2007 (CL3-20098-035),0,2004,2004,venl,115,167,R can come both from pub and unpub data but do not match,40,10,1,Fixed,Licensed,No,Comparator,26,6,11,LOCF,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,m,Moderate risk,4,0,Moderate risk,0,0,0,0,venl,a45
52,2,Feighner1991,1,1991,1991,bupr,37,61,R from pub data and no or inadequate unpub data,41,,,Flexible,Licensed,Yes,Investigational,25,6,11,Others,0,No,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b15
52,1,Feighner1991,1,1991,1991,fluo,35,62,R from pub data and no or inadequate unpub data,43,,,Flexible,Licensed,No,Comparator,26,6,13,Others,0,No,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,b14
53,1,Weisler1994,0,1994,1994,bupr,33,63,R from pub data and no or inadequate unpub data,40,,,Flexible,Licensed,Yes,Investigational,26,6,13,Others,0,No,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b16
53,2,Weisler1994,0,1994,1994,traz,21,61,R from pub data and no or inadequate unpub data,41,,,Flexible,Licensed,No,Comparator,25,6,14,Others,0,No,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,traz,b17
59,1,Caligiuri2003,0,2000,2003,bupr,3,7,R imputed from pub data and no or inadequate unpub data,42,10,,Flexible,Licensed,No,Unclear,18,8,-9,Others,1,No,Single center,Outpatients only,Unclear,9,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,3,0,Moderate risk,0,0,0,0,bupr,b35
59,2,Caligiuri2003,0,2000,2003,sert,4,9,R imputed from pub data and no or inadequate unpub data,42,10,,Flexible,Licensed,No,Unclear,18,8,-9,Others,1,No,Single center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,3,0,Moderate risk,0,0,0,0,sert,b36
61,1,Thase2006 (WELL 100368),1,2005,2006,bupr,86,171,Inadequate pub data and R from unpub data,37,12,,Flexible,Licensed,Yes,Investigational,25,9,-12,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,12,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b39
61,2,Thase2006 (WELL 100368),1,2006,2006,venl,82,177,Inadequate pub data and R from unpub data,37,12,,Flexible,Licensed,No,Comparator,24,9,-12,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,12,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,venl,b40
75,1,WELL AK140016,1,2001,,bupr,35,69,No pub data and R from unpub data,38,11,,Fixed,Licensed,Yes,Investigational,22,8,10,Others,1,Yes,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b79
75,2,WELL AK140016,1,2001,,paro,36,71,No pub data and R from unpub data,37,11,,Fixed,Licensed,No,Comparator,22,8,10,Others,1,Yes,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,paro,b80
82,1,Andersen1986,0,1986,1986,cita,23,57,R imputed from pub data and no or inadequate unpub data,,,1,Fixed,Licensed,Unclear,Investigational,23,5,12,Others,1,No,Multi-center,Inpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,cita,c13
82,2,Andersen1986,0,1986,1986,clom,31,57,R imputed from pub data and no or inadequate unpub data,,,1,Fixed,Licensed,Unclear,Comparator,22,5,9,Others,1,No,Multi-center,Inpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,clom,c14
84,2,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),1,1993,1993,cita,33,108,R from pub data and no or inadequate unpub data,,,,Flexible,Licensed,Yes,Investigational,25,6,17,Others,0,Yes,Multi-center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,cita,c18
84,1,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),1,1993,1993,fluv,31,109,R from pub data and no or inadequate unpub data,,,,Flexible,Licensed,No,Comparator,25,6,18,Others,0,Yes,Multi-center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Low risk,0,0,0,0,fluv,c17
85,2,Patris1996 (Study 91301 - FDA),1,1996,1996,cita,120,173,R from pub data and no or inadequate unpub data,44,,,Fixed,Licensed,Yes,Investigational,30,8,9,Others,0,Yes,Multi-center,Outpatients only,Yes,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,cita,c20
85,1,Patris1996 (Study 91301 - FDA),1,1996,1996,fluo,123,184,R from pub data and no or inadequate unpub data,43,,,Fixed,Licensed,No,Comparator,29,8,10,Others,0,Yes,Multi-center,Outpatients only,Yes,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Low risk,0,0,0,0,fluo,c19
86,2,Bougerol1997 (Study 91302 - FDA),1,1997,1997,cita,102,158,R from pub data and no or inadequate unpub data,43,,,Fixed,Licensed,Yes,Investigational,31,8,12,Others,0,Yes,Multi-center,Other/Unclear/Not stated,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,cita,c22
86,1,Bougerol1997 (Study 91302 - FDA),1,1997,1997,fluo,109,158,R from pub data and no or inadequate unpub data,41,,,Fixed,Licensed,No,Comparator,32,8,11,Others,0,Yes,Multi-center,Other/Unclear/Not stated,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,c21
93,1,Hsu2011,0,2011,2011,cita,9,25,R from pub data and no or inadequate unpub data,43,11,,Flexible,Licensed,No,Investigational,37,6,11,LOCF,0,No,Single center,Other/Unclear/Not stated,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,cita,c36
93,2,Hsu2011,0,2011,2011,sert,6,26,R from pub data and no or inadequate unpub data,38,14,,Flexible,Licensed,No,Comparator,38,6,17,LOCF,0,No,Single center,Other/Unclear/Not stated,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,m,Moderate risk,2,0,Moderate risk,0,0,0,0,sert,c37
114,1,Perahia2008a (HMBU) (NCT00071695),0,2004,2008,dulo,85,166,Inadequate pub data and R from unpub data,45,13,1,Fixed,Licensed,Yes,Investigational,23,6,-11,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,dulo,du23
114,2,Perahia2008a (HMBU) (NCT00071695),0,2004,2008,venl,91,166,Inadequate pub data and R from unpub data,43,13,1,Fixed,Licensed,No,Comparator,23,6,-12,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,venl,du24
116,1,Perahia2008b (HMCQ) (NCT00067912),0,2004,2008,dulo,79,164,Inadequate pub data and R from unpub data,43,13,1,Fixed,Licensed,Yes,Investigational,22,6,-11,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,m,Moderate risk,3,0,Moderate risk,0,0,0,0,dulo,du27
116,2,Perahia2008b (HMCQ) (NCT00067912),0,2004,2008,venl,170,340,Inadequate pub data and R from unpub data,42,12,1,Fixed,Licensed,No,Comparator,22,6,-11,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,m,Moderate risk,3,0,Moderate risk,0,0,0,0,venl,du28
118,1,Lee2007 (F1J-AA-HMCV) (NCT00489775),0,2005,2007,dulo,144,238,R from pub data and no or inadequate unpub data,39,14,,Fixed,Licensed,Yes,Investigational,21,8,-14,LOCF,0,Yes,Multi-center,Both,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,dulo,du33
118,2,Lee2007 (F1J-AA-HMCV) (NCT00489775),0,2005,2007,paro,157,240,R from pub data and no or inadequate unpub data,38,15,,Fixed,Licensed,No,Comparator,21,8,-14,LOCF,0,Yes,Multi-center,Both,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,paro,du34
126,1,Hao2014,0,2012,2014,dulo,86,140,R from pub data and no or inadequate unpub data,38,13,1,Fixed,Licensed,Yes,Investigational,24,6,-14,Others/Unclear,0,No,Multi-center,Both,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,dulo,du57
126,2,Hao2014,0,2012,2014,paro,74,141,R from pub data and no or inadequate unpub data,39,2,1,Fixed,Licensed,No,Comparator,24,6,-12,Others/Unclear,0,No,Multi-center,Both,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,paro,du58
131,1,Kennedy2005 (SCT-MD-16),1,2001,,esci,61,102,No pub data and R from unpub data,37,11,,Flexible,Licensed,Yes,Investigational,26,8,-16,Others,1,Yes,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,m,Moderate risk,2,0,High risk,0,0,0,0,esci,e13
131,2,Kennedy2005 (SCT-MD-16),1,2001,,fluo,63,103,No pub data and R from unpub data,37,12,,Flexible,Licensed,No,Comparator,27,8,-16,Others,1,Yes,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,m,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,e14
133,1,Bielski2004 (SCT-MD-12),1,2002,2004,esci,59,101,R from pub data and no or inadequate unpub data,37,12,,Fixed,Licensed,Yes,Investigational,29,8,-15,LOCF,0,Yes,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e17
133,2,Bielski2004 (SCT-MD-12),1,2002,2004,venl,47,101,R from pub data and no or inadequate unpub data,38,12,,Fixed,Licensed,No,Comparator,27,8,-13,LOCF,0,Yes,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,venl,e18
134,1,Montgomery2004a (Study 99067),1,2002,2004,esci,113,148,R can come both from pub and unpub data and match,49,15,,Flexible,Licensed,Yes,Investigational,20,8,-13,LOCF,0,Yes,Multi-center,Other/Unclear/Not stated,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e19
134,2,Montgomery2004a (Study 99067),1,2002,2004,venl,113,145,R can come both from pub and unpub data and match,47,14,,Flexible,Licensed,No,Comparator,20,8,-13,LOCF,0,Yes,Multi-center,Other/Unclear/Not stated,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,venl,e20
136,1,Ventura2007 (SCT-MD-18),1,2003,2007,esci,75,107,R from pub data and no or inadequate unpub data,41,14,,Fixed,Licensed,Yes,Investigational,27,8,-17,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e23
136,2,Ventura2007 (SCT-MD-18),1,2003,2007,sert,74,108,R from pub data and no or inadequate unpub data,38,12,,Flexible,Licensed,No,Comparator,27,8,-16,LOCF,0,Yes,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,sert,e24
137,2,Lalit2004,0,2004,2004,cita,64,74,R from pub data and no or inadequate unpub data,33,9,,Flexible,Licensed,Yes,Comparator,25,4,-19,LOCF,0,No,Multi-center,Outpatients only,No,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,3,0,High risk,0,0,0,0,cita,e26
137,1,Lalit2004,0,2004,2004,esci,62,69,R from pub data and no or inadequate unpub data,33,8,,Flexible,Licensed,Yes,Investigational,26,4,-20,LOCF,0,No,Multi-center,Outpatients only,No,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,m,Moderate risk,3,0,High risk,0,0,0,0,esci,e25
137,3,Lalit2004,0,2004,2004,sert,69,71,R from pub data and no or inadequate unpub data,37,11,,Flexible,Licensed,No,Comparator,25,4,-20,LOCF,0,No,Multi-center,Outpatients only,No,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,m,Moderate risk,3,0,Moderate risk,0,0,0,0,sert,e27
140,2,Colonna2005 (Study 99022),1,2005,2005,cita,96,182,R from pub data and no or inadequate unpub data,46,11,,Fixed,Licensed,No,Comparator,30,8,14,LOCF,0,Yes,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Unclear risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,cita,e34
140,1,Colonna2005 (Study 99022),1,2005,2005,esci,104,175,R from pub data and no or inadequate unpub data,46,12,,Fixed,Licensed,Yes,Investigational,30,8,13,LOCF,0,Yes,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Unclear risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e33
141,2,Moore2005,1,2005,2005,cita,87,152,R from pub data and no or inadequate unpub data,46,11,,Fixed,Licensed,No,Comparator,36,8,-20,LOCF,0,No,Multi-center,Outpatients only,No,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,cita,e36
141,1,Moore2005,1,2005,2005,esci,105,142,R from pub data and no or inadequate unpub data,44,11,,Fixed,Licensed,Yes,Investigational,36,8,-22,LOCF,0,No,Multi-center,Outpatients only,No,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e35
143,2,Baldwin2006b (Study 99505),1,2006,2006,esci,112,166,R from pub data and no or inadequate unpub data,45,15,,Flexible,Licensed,Yes,Investigational,30,8,-17,LOCF,0,Yes,Multi-center,Other/Unclear/Not stated,Yes,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,esci,e41
143,1,Baldwin2006b (Study 99505),1,2006,2006,paro,111,159,R from pub data and no or inadequate unpub data,45,13,,Flexible,Licensed,No,Comparator,30,8,-18,LOCF,0,Yes,Multi-center,Other/Unclear/Not stated,Yes,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Low risk,0,0,0,0,paro,e40
