Study_No,Study_ID,Drug,OverallEfficM,OverallEfficSD,OverallEfficN,No_randomised,RoB,Year,sec_OverallEfficM,sec_OverallEfficSD,sec_OverallEfficN
547,Bechelli 1983,Haloperidol,24.17,7.96,29,30,1,2005,24.17,7.96,29
547,Bechelli 1983,Placebo,36.22,12.1,23,31,1,2005,36.22,12.1,23
550,Bernardo 2001,Haloperidol,62.7,20.7,13,13,1,2005,62.7,20.7,13
550,Bernardo 2001,Olanzapine,68,23.3,14,14,1,2005,68,23.3,14
551,Bhowmick 2010,Amisulpride,37.7,9.67,39,40,1,2005,37.7,9.67,39
551,Bhowmick 2010,Olanzapine,33.2,9.44,38,40,1,2005,33.2,9.44,38
555,Blin 1996,Haloperidol,-26.6,27.6,20,20,1,2005,-26.6,27.6,20
555,Blin 1996,Levomepromazine,-22.6,26.9,21,21,1,2005,-22.6,26.9,21
555,Blin 1996,Risperidone,-44.7,27,21,21,1,2005,-44.7,27,21
557,Borison 1989,Haloperidol,-15,16.09044805,5,8,1,2005,-15,16.09044805,5
557,Borison 1989,Placebo,-13,16.09044805,4,8,1,2005,-13,16.09044805,4
557,Borison 1989,Thioridazine,-24,16.09044805,7,8,1,2005,-24,16.09044805,7
47,Borison 1991a,Chlorpromazine,46.4,4.5,9,9,1,2005,46.4,4.5,9
47,Borison 1991a,Placebo,50.5,6.4,10,10,1,2005,50.5,6.4,10
559,Borison 1992,Haloperidol,-9,16.32,53,53,1,2005,-9,16.32,53
559,Borison 1992,Placebo,-0.6,16.65,54,54,1,2005,-0.6,16.65,54
559,Borison 1992,Risperidone,-11.6,16.65,53,53,1,2005,-11.6,16.65,53
560,Borison 1996,Placebo,-2.1,17.4,53,55,1,2005,-2.1,17.4,53
560,Borison 1996,Quetiapine,-8.1,17.4,53,54,1,2005,-8.1,17.4,53
51,Boulay 2007,Haloperidol,56.1,12.97,10,13,1,2005,56.1,12.97,10
51,Boulay 2007,Olanzapine,62,12.84,14,14,1,2005,62,12.84,14
1239,Brauzer 1971,Molindone,32.5,12.37620002,8,12,1,2005,32.5,12.37620002,8
1239,Brauzer 1971,Trifluoperazine,29.6,12.37620002,11,13,1,2005,29.6,12.37620002,11
54,Breier 2005,Olanzapine,-35.7,26.52,268,277,1,2005,-35.7,26.52,268
54,Breier 2005,Ziprasidone,-26,28.27,261,271,1,2005,-26,28.27,261
1187,Brook 1998,Haloperidol,-5.5,6.03,20,20,1,2005,-5.5,6.03,20
1187,Brook 1998,Zuclopenthixol,-6.04,6.03,24,24,1,2005,-6.04,6.03,24
56,Brook 2005,Haloperidol,-15.79,15.99,138,138,1,2005,-15.79,15.99,138
56,Brook 2005,Ziprasidone,-14.99,19.28,429,429,1,2005,-14.99,19.28,429
1243,Bueno 1979,Haloperidol,24.37,11.34306207,19,20,1,2010,24.37,11.34306207,19
1243,Bueno 1979,Loxapine,33.06,11.34306207,19,20,1,2010,33.06,11.34306207,19
59,Bugarski-Kirola,Olanzapine,-14.9,16.64,61,63,1,2010,-14.9,16.64,61
59,Bugarski-Kirola,Placebo,-11.9,16.89,79,79,1,2010,-11.9,16.89,79
3279,Canive 2006,Olanzapine,57.8,16.75277009,5,5,1,2010,57.8,16.75277009,5
3279,Canive 2006,Risperidone,70.6,16.75277009,4,4,1,2010,70.6,16.75277009,4
998,Cantillon 2014,Aripiprazole,82.37,22.13,19,20,1,2010,82.37,22.13,19
998,Cantillon 2014,Placebo,78.43,24.14,37,39,1,2010,78.43,24.14,37
1245,Carranza 1974,Sulpiride,11,8.255547451,16,20,1,2010,11,8.255547451,16
1245,Carranza 1974,Thioridazine,6,8.255547451,18,20,1,2010,6,8.255547451,18
574,Carrière 2000,Amisulpride,-27.3,18.1,91,94,1,2010,-27.3,18.1,91
574,Carrière 2000,Haloperidol,-21.9,18.4,103,105,1,2010,-21.9,18.4,103
65,Casey 2008,Placebo,-5.3,16.3,114,119,1,2010,-5.3,16.3,114
65,Casey 2008,Risperidone,-15.7,14.9,116,120,1,2010,-15.7,14.9,116
578,Ceskova 1993,Haloperidol,28.58,6.46,31,31,1,2010,28.58,6.46,31
578,Ceskova 1993,Risperidone,32.48,10.24,31,31,1,2010,32.48,10.24,31
68,Chan 2007,Aripiprazole,-19.6,18.1,49,49,1,2010,-19.6,18.1,49
68,Chan 2007,Risperidone,-21.1,17.1,34,34,1,2010,-21.1,17.1,34
71,"Charalampous 1974, 00559",Loxapine,41.11,22.89,20,20,1,2010,41.11,22.89,20
71,"Charalampous 1974, 00559",Placebo,41.78,22.89,19,19,1,2010,41.78,22.89,19
71,"Charalampous 1974, 00559",Tiotixene,28.12,22.89,21,21,1,2010,28.12,22.89,21
1340,Chouinard 1970,Fluphenazine,33,12.37620002,10,10,1,2010,33,12.37620002,10
1340,Chouinard 1970,Pimozide,30.9,12.37620002,10,10,1,2010,30.9,12.37620002,10
583,Chouinard 1975,Perphenazine,29.6,12.37620002,24,24,1,2010,29.6,12.37620002,24
583,Chouinard 1975,Placebo,40.3,12.37620002,24,24,1,2010,40.3,12.37620002,24
3386,Chouinard 1976,Chlorpromazine,26.3,11.34306207,15,19,1,2010,26.3,11.34306207,15
3386,Chouinard 1976,Penfluridol,26.9,11.34306207,14,14,1,2010,26.9,11.34306207,14
1191,Chouinard 1982,Chlorpromazine,30.3,11.81,20,20,1,2010,30.3,11.81,20
1191,Chouinard 1982,Pimozide,36.8,11.81,20,20,1,2010,36.8,11.81,20
75,Chouinard 1993,Haloperidol,-9.3,27.7,21,21,1,2010,-9.3,27.7,21
75,Chouinard 1993,Placebo,4.6,17.7,22,22,1,2010,4.6,17.7,22
75,Chouinard 1993,Risperidone,-25.7,29.6,22,22,1,2010,-25.7,29.6,22
591,Clark 1970a,Chlorpromazine,33.84,8.8,14,15,1,2010,33.84,8.8,14
591,Clark 1970a,Molindone,35.71,8.58,15,15,1,2010,35.71,8.58,15
591,Clark 1970a,Placebo,41.75,8.8,14,14,1,2010,41.75,8.8,14
82,Clark 1970b,Chlorpromazine,36.5,15.9,32,32,1,2010,36.5,15.9,32
82,Clark 1970b,Placebo,47.2,15.9,17,17,1,2010,47.2,15.9,17
83,Clark 1971a,Chlorpromazine,32.05,11.34306207,20,23,1,2010,32.05,11.34306207,20
83,Clark 1971a,Fluphenazine,34.65,11.34306207,18,20,1,2010,34.65,11.34306207,18
83,Clark 1971a,Placebo,37.48,11.34306207,18,21,1,2010,37.48,11.34306207,18
83,Clark 1971a,Thioridazine,29.63,11.34306207,19,22,1,2010,29.63,11.34306207,19
84,Clark 1972,Chlorpromazine,39.29,11.34306207,17,19,1,2010,39.29,11.34306207,17
84,Clark 1972,Loxapine,36.24,11.34306207,18,18,1,2010,36.24,11.34306207,18
84,Clark 1972,Placebo,41.18,11.34306207,16,18,1,2010,41.18,11.34306207,16
104,Clark 1975,Loxapine,29.38,11.34306207,13,15,1,2010,29.38,11.34306207,13
104,Clark 1975,Placebo,32.92,11.34306207,12,13,1,2010,32.92,11.34306207,12
104,Clark 1975,Trifluoperazine,24.92,11.34306207,12,15,1,2010,24.92,11.34306207,12
105,"Clark 1977 12 weeks, 02912",Loxapine,27.08043478,11.34306207,23,25,1,2010,27.08043478,11.34306207,23
105,"Clark 1977 12 weeks, 02912",Placebo,33,11.34306207,13,13,1,2010,33,11.34306207,13
106,Clark 1977a,Chlorpromazine,32.73,14.57,9,9,1,2010,32.73,14.57,9
106,Clark 1977a,Placebo,47.36,14.795,9,9,1,2010,47.36,14.795,9
107,Claus 1992,Haloperidol,74.3,20.16,21,22,1,2010,74.3,20.16,21
107,Claus 1992,Risperidone,76.9,20.16,21,22,1,2010,76.9,20.16,21
112,Conley 2001,Olanzapine,-12.9,16.1,181,189,1,2010,-12.9,16.1,181
112,Conley 2001,Risperidone,-12.8,15.9,175,188,1,2010,-12.8,15.9,175
115,Cooper 2000a,Chlorpromazine,-4.3,19.1,53,53,1,2010,-4.3,19.1,53
115,Cooper 2000a,Placebo,-2.9,16.3,53,53,1,2010,-2.9,16.3,53
115,Cooper 2000a,Zotepine,-16.8,14.9,53,53,1,2010,-16.8,14.9,53
117,Copolov 2000,Haloperidol,-22.1,24.12,219,227,1,2010,-22.1,24.12,219
117,Copolov 2000,Quetiapine,-18.7,24.07,218,221,1,2010,-18.7,24.07,218
1056,Correll 2015,Brexpiprazole,-20.19301676,20.65844137,358,362,1,2010,-20.19301676,20.65844137,358
1056,Correll 2015,Placebo,-12.01,21.35,178,184,1,2010,-12.01,21.35,178
4863,Correll 2020,Lumateperone,-14.5,15.82,148,150,1,2010,-14.5,15.82,148
4863,Correll 2020,Placebo,-10.3,15.44,141,150,1,2010,-10.3,15.44,141
118,Corrigan 2004,Olanzapine,-31.5,37.29,93,93,1,2010,-31.5,37.29,93
118,Corrigan 2004,Placebo,-12.6,37.29,85,87,1,2010,-12.6,37.29,85
1000,Corripio 2005,Haloperidol,58,16.75277009,10,10,1,2010,58,16.75277009,10
1000,Corripio 2005,Ziprasidone,61.1,16.75277009,10,10,1,2010,61.1,16.75277009,10
629,Costa e Silva 1989,Amisulpride,-39,15,18,20,1,2010,-39,15,18
629,Costa e Silva 1989,Haloperidol,-32.7,22,18,20,1,2010,-32.7,22,18
632,Cutler 2006,Aripiprazole,-11.3,18.32,94,94,1,2010,-11.3,18.32,94
632,Cutler 2006,Placebo,-5.3,18.32,85,88,1,2010,-5.3,18.32,85
633,Cutler 2008,Iloperidone,-12,18.07,283,303,1,2010,-12,18.07,283
633,Cutler 2008,Placebo,-7.1,18.07,140,152,1,2010,-7.1,18.07,140
633,Cutler 2008,Ziprasidone,-12.3,21.23,144,151,1,2010,-12.3,21.23,144
992,Cutler 2008a,Placebo,-12.5,20.48923902,111,117,1,2010,-12.5,20.48923902,111
992,Cutler 2008a,Quetiapine,-14.90965358,20.48923902,433,448,1,2010,-14.90965358,20.48923902,433
127,Daniel 1999,Placebo,-6,23.85,91,92,1,2010,-6,23.85,91
127,Daniel 1999,Ziprasidone,-17,19.28,103,104,1,2010,-17,19.28,103
129,Davidson 2007,Olanzapine,-18.1,20.3,126,128,1,2010,-18.1,20.3,126
129,Davidson 2007,Paliperidone,-16.3,21.81,123,125,1,2010,-16.3,21.81,123
129,Davidson 2007,Placebo,-2.8,20.9,120,123,1,2010,-2.8,20.9,120
3318,Dehnel 1968,Clopenthixol,41,12.37620002,25,25,1,2010,41,12.37620002,25
3318,Dehnel 1968,Perphenazine,36.1,12.37620002,25,25,1,2010,36.1,12.37620002,25
643,Delcker 1990,Amisulpride,-25.6,7.8,20,21,1,2010,-25.6,7.8,20
643,Delcker 1990,Haloperidol,-21.1,8.77,17,20,1,2010,-21.1,8.77,17
3114,"DeMartinis 2012 (same as Walling 2019_keep, rename and connect to Citavi after data merging)",Placebo,-10.82,15.11,63,74,1,2010,-10.82,15.11,63
3114,"DeMartinis 2012 (same as Walling 2019_keep, rename and connect to Citavi after data merging)",Risperidone,-19.05,14.71,26,37,1,2010,-19.05,14.71,26
134,Dieterle 1991,Perazine,1.7,2.236,20,20,1,2010,1.7,2.236,20
134,Dieterle 1991,Zotepine,2.1,2.683,20,20,1,2010,2.1,2.683,20
136,Dossenbach 2004,Fluphenazine,-29.5,31.9,27,30,1,2010,-29.5,31.9,27
136,Dossenbach 2004,Olanzapine,-45.7,27.1,27,30,1,2010,-45.7,27.1,27
1010,Downing 2014,Placebo,-7.9,21.45854,253,295,1,2010,-7.9,21.45854,253
1010,Downing 2014,Risperidone,-16.6,21.45854,124,143,1,2010,-16.6,21.45854,124
1260,Dube 1976,Chlorpromazine,18.88,12.37620002,26,26,1,2010,18.88,12.37620002,26
1260,Dube 1976,Loxapine,19.81,12.37620002,26,26,1,2010,19.81,12.37620002,26
649,Durgam 2014,Cariprazine,-22.21882353,20.63865838,425,438,1,2010,-22.21882353,20.63865838,425
649,Durgam 2014,Placebo,-13.3,21.89,148,151,1,2010,-13.3,21.89,148
649,Durgam 2014,Risperidone,-29.3,19.97,138,140,1,2010,-29.3,19.97,138
4296,Dutta 2014,Asenapine,76.7,16.9,41,41,1,2010,76.7,16.9,41
4296,Dutta 2014,Clozapine,70.5,16.1,38,38,1,2010,70.5,16.1,38
4296,Dutta 2014,Ziprasidone,72.4,16.4,40,40,1,2010,72.4,16.4,40
1265,Edwards 1980,Sulpiride,31.5,11.34306207,17,19,1,2010,31.5,11.34306207,17
1265,Edwards 1980,Trifluoperazine,36.1,11.34306207,18,19,1,2010,36.1,11.34306207,18
140,Egan 2013,Olanzapine,-17,19.47,45,47,1,2010,-17,19.47,45
140,Egan 2013,Placebo,-12.7,19.69,78,83,1,2010,-12.7,19.69,78
3687,ENLIGHTEN-1,Olanzapine,-22.8,14.82,132,133,1,2010,-22.8,14.82,132
3687,ENLIGHTEN-1,Placebo,-17.5,15.22,133,134,1,2010,-17.5,15.22,133
146,Erlandsen 1981,Clozapine,36,12.37620002,19,19,1,2010,36,12.37620002,19
146,Erlandsen 1981,Haloperidol,45,12.37620002,21,21,1,2010,45,12.37620002,21
659,Fabre 1995,Placebo,-4.7,13.2,4,4,1,2010,-4.7,13.2,4
659,Fabre 1995,Quetiapine,-20.9,8.5,8,8,1,2010,-20.9,8.5,8
6370,Feng 2019,Lurasidone,-31.2,13.93,194,194,1,2010,-31.2,13.93,194
6370,Feng 2019,Risperidone,-34.9,13.78,190,194,1,2010,-34.9,13.78,190
156,Fleischhacker 1989,Haloperidol,28,12.37620002,20,20,1,2010,28,12.37620002,20
156,Fleischhacker 1989,Zotepine,35,12.37620002,20,20,1,2010,35,12.37620002,20
981,Fleischhacker 2009_52weeks,Aripiprazole,-29.28,36.32,347,355,1,2010,-29.28,36.32,347
981,Fleischhacker 2009_52weeks,Olanzapine,-34.73,36.32,344,348,1,2010,-34.73,36.32,344
1277,Freeman 1969,Molindone,-23,16.09044805,20,20,1,2010,-23,16.09044805,20
1277,Freeman 1969,Trifluoperazine,-18,16.09044805,18,20,1,2010,-18,16.09044805,18
163,Garcia 2009,Haloperidol,-28.16,23.23,58,60,1,2010,-28.16,23.23,58
163,Garcia 2009,Placebo,-12.58,23.2,61,64,1,2010,-12.58,23.2,61
165,Gattaz 2004,Flupentixol,-20.6,12.1,12,13,1,2010,-20.6,12.1,12
165,Gattaz 2004,Olanzapine,-19.1,16.8,13,15,1,2010,-19.1,16.8,13
674,Geffen 2012,Placebo,-14.4,23.13,93,93,1,2010,-14.4,23.13,93
674,Geffen 2012,Risperidone,-26.2,23.36,91,91,1,2010,-26.2,23.36,91
167,Gelenberg 1979,Chlorpromazine,39,11.34306207,8,8,1,2010,39,11.34306207,8
167,Gelenberg 1979,Clozapine,27,11.34306207,7,7,1,2010,27,11.34306207,7
168,Gerlach 1974,Clozapine,39.25,12.37620002,10,10,1,2010,39.25,12.37620002,10
168,Gerlach 1974,Haloperidol,42.97,12.37620002,10,10,1,2010,42.97,12.37620002,10
170,Ghaleiha 2011,Clozapine,-48.43,25.24,16,17,1,2010,-48.43,25.24,16
170,Ghaleiha 2011,Haloperidol,-37.87,32.16,16,17,1,2010,-37.87,32.16,16
170,Ghaleiha 2011,Risperidone,-43.62,30.32,16,17,1,2010,-43.62,30.32,16
173,Goff 1998,Haloperidol,-11.6,15.1,17,17,1,2010,-11.6,15.1,17
173,Goff 1998,Ziprasidone,-11.9,15,20,20,1,2010,-11.9,15,20
3445,Granacher 1982,Thioridazine,16.7,5.601421402,18,27,1,2010,16.7,5.601421402,18
3445,Granacher 1982,Tiotixene,11.33,5.601421402,23,27,1,2010,11.33,5.601421402,23
684,Grootens 2009,Olanzapine,-17.15,10.25,33,35,1,2010,-17.15,10.25,33
684,Grootens 2009,Ziprasidone,-14.86,12.99,34,39,1,2010,-14.86,12.99,34
179,Gureje 2003,Olanzapine,-28.2,20.8,32,32,1,2010,-28.2,20.8,32
179,Gureje 2003,Risperidone,-16.3,16.3,30,33,1,2010,-16.3,16.3,30
1020,Haas 1982,Haloperidol,35.33704078,12.37620002,15,15,1,2010,35.33704078,12.37620002,15
1020,Haas 1982,Pimozide,31.84866869,12.37620002,14,14,1,2010,31.84866869,12.37620002,14
180,Hale 2000,Haloperidol,-22.8,23.57,123,125,1,2010,-22.8,23.57,123
180,Hale 2000,Sertindole,-21.94,28.87,241,255,1,2010,-21.94,28.87,241
1296,Hall 1968,Fluphenazine,45.3,12.37620002,25,25,1,2010,45.3,12.37620002,25
1296,Hall 1968,Haloperidol,43.8,12.37620002,25,25,1,2010,43.8,12.37620002,25
692,Hatta 2009,Aripiprazole,-18.4,26,21,22,1,2010,-18.4,26,21
692,Hatta 2009,Olanzapine,-33.4,20.8,17,17,1,2010,-33.4,20.8,17
692,Hatta 2009,Quetiapine,-28.9,28.6,20,20,1,2010,-28.9,28.6,20
692,Hatta 2009,Risperidone,-24.7,27.9,20,21,1,2010,-24.7,27.9,20
3337,Hatta 2013,Olanzapine,71.09090909,27.31451344,22,22,1,2010,71.09090909,27.31451344,22
3337,Hatta 2013,Risperidone,73.3,22.60995356,20,20,1,2010,73.3,22.60995356,20
3465,Heikkila 1981,Haloperidol,26.643,8.255547451,19,33,1,2010,26.643,8.255547451,19
3465,Heikkila 1981,Zuclopenthixol,22.977,8.255547451,17,30,1,2010,22.977,8.255547451,17
1022,Heikkilae 1992,Haloperidol,10.3,7.9341,18,23,1,2010,10.3,7.9341,18
1022,Heikkilae 1992,Zuclopenthixol,11.6,8.5329,20,26,1,2010,11.6,8.5329,20
3448,Heikkinen 1993,Chlorpromazine,32.7,10.8,21,21,1,2010,32.7,10.8,21
3448,Heikkinen 1993,Molindone,32.6,9.2,24,24,1,2010,32.6,9.2,24
189,Heinrich 1994,Clozapine,-16.9,16.1,20,20,1,2010,-16.9,16.1,20
189,Heinrich 1994,Risperidone,-13.9,16.55,40,40,1,2010,-13.9,16.55,40
190,Hera 041-021,Asenapine,-16.7,19.1,208,208,1,2010,-16.7,19.1,208
190,Hera 041-021,Olanzapine,-19.9,19.3,103,103,1,2010,-19.9,19.3,103
190,Hera 041-021,Placebo,-13.2,20.1,106,106,1,2010,-13.2,20.1,106
191,Hera 041-022,Asenapine,-11.6,19.45,85,91,1,2010,-11.6,19.45,85
191,Hera 041-022,Olanzapine,-15.9,19.55,85,93,1,2010,-15.9,19.55,85
191,Hera 041-022,Placebo,-15.6,19.15,89,93,1,2010,-15.6,19.15,89
192,"Herrera 1990, 00640",Placebo,56.2,10.8,5,5,1,2010,56.2,10.8,5
192,"Herrera 1990, 00640",Thioridazine,42.7,10.9,9,9,1,2010,42.7,10.9,9
6373,Higuchi 2019,Lurasidone,-5.185826772,19.53690148,254,262,1,2010,-5.185826772,19.53690148,254
6373,Higuchi 2019,Placebo,-2.5,19.54,129,133,1,2010,-2.5,19.54,129
6373,Higuchi 2019,Risperidone,-7.1,19.52,64,65,1,2010,-7.1,19.52,64
702,Honigfeld 1984a,Chlorpromazine,-8.75,17.45,12,15,1,2010,-8.75,17.45,12
702,Honigfeld 1984a,Clozapine,-25,13.72,14,16,1,2010,-25,13.72,14
702,Honigfeld 1984a,Placebo,5,23.03,8,8,1,2010,5,23.03,8
199,Honigfeld 1984c,Clozapine,-14.87,13.87,39,39,1,2010,-14.87,13.87,39
199,Honigfeld 1984c,Haloperidol,-2.5,18.15,40,40,1,2010,-2.5,18.15,40
709,Hoyberg 1993,Perphenazine,-20,21,51,52,1,2010,-20,21,51
709,Hoyberg 1993,Risperidone,-24,28,50,55,1,2010,-24,28,50
710,Huttunen 1995,Risperidone,-14.4,20.48923902,48,48,1,2010,-14.4,20.48923902,48
710,Huttunen 1995,Zuclopenthixol,-11.4,20.48923902,50,50,1,2010,-11.4,20.48923902,50
210,Hwang 2001,Haloperidol,-16.11,22.32,35,35,1,2010,-16.11,22.32,35
210,Hwang 2001,Zotepine,-10.6,21.11,35,35,1,2010,-10.6,21.11,35
211,Hwang 2003,Amisulpride,-24.1,17.2,22,23,1,2010,-24.1,17.2,22
211,Hwang 2003,Risperidone,-28.4,18.8,25,25,1,2010,-28.4,18.8,25
714,Ishigooka 2001,Haloperidol,-7.94,21.85,78,89,1,2010,-7.94,21.85,78
714,Ishigooka 2001,Olanzapine,-11.84,17.42,80,93,1,2010,-11.84,17.42,80
4686,Ishigooka 2018,Brexpiprazole,-13.25117117,21.65821841,222,228,1,2010,-13.25117117,21.65821841,222
4686,Ishigooka 2018,Placebo,-7.63,22.42960766,113,116,1,2010,-7.63,22.42960766,113
715,Itoh 1977,Clozapine,37,10.5,47,47,1,2010,37,10.5,47
715,Itoh 1977,Haloperidol,40,13.5,41,41,1,2010,40,13.5,41
5028,Iyo 2021,Lurasidone,-19.3,17.22,245,247,1,2010,-19.3,17.22,245
5028,Iyo 2021,Placebo,-12.7,17.55,233,236,1,2010,-12.7,17.55,233
216,Janicak 2001,Haloperidol,-14,27.74,32,32,1,2010,-14,27.74,32
216,Janicak 2001,Risperidone,-16,21.42,30,30,1,2010,-16,21.42,30
718,Jann 1997,Haloperidol,35.6,10.5,12,18,1,2010,35.6,10.5,12
718,Jann 1997,Placebo,46.9,14.6,8,18,1,2010,46.9,14.6,8
219,Janssen CR012625,Olanzapine,-9.9,16.83,46,47,1,2010,-9.9,16.83,46
219,Janssen CR012625,Paliperidone,-9.1,18.39,134,136,1,2010,-9.1,18.39,134
219,Janssen CR012625,Placebo,3.8,18.88,138,138,1,2010,3.8,18.88,138
3289,Jarema 2003,Olanzapine,-24.2,21.25457143,47,47,1,2010,-24.2,21.25457143,47
3289,Jarema 2003,Perphenazine,-16.8,21.25457143,48,48,1,2010,-16.8,21.25457143,48
1027,Jindal 2013,Aripiprazole,-45.31,11.94,26,30,1,2010,-45.31,11.94,26
1027,Jindal 2013,Olanzapine,-40.93,5.4,27,30,1,2010,-40.93,5.4,27
722,Johnson NCT00397033,Paliperidone,-28.98,20.92,203,209,1,2010,-28.98,20.92,203
722,Johnson NCT00397033,Placebo,-24.1,21.72,107,107,1,2010,-24.1,21.72,107
723,Johnson NCT00412373,Paliperidone,-20,18.9,211,216,1,2010,-20,18.9,211
723,Johnson NCT00412373,Placebo,-10.8,18.7,93,95,1,2010,-10.8,18.7,93
724,Johnson NCT00524043,Paliperidone,-15,26.02,70,70,1,2010,-15,26.02,70
724,Johnson NCT00524043,Placebo,-11.7,22.84,63,65,1,2010,-11.7,22.84,63
224,"Johnstone 1978, 01073",Flupentixol,5.2,3.87,15,15,1,2010,5.2,3.87,15
224,"Johnstone 1978, 01073",Placebo,8.2,3.87,15,15,1,2010,8.2,3.87,15
227,Kahn 2007,Placebo,-18.8,26.5,115,118,1,2010,-18.8,26.5,115
227,Kahn 2007,Quetiapine,-28.4,23.86,458,470,1,2010,-28.4,23.86,458
231,Kane 2002,Aripiprazole,-13.44,25.25,204,204,1,2010,-13.44,25.25,204
231,Kane 2002,Haloperidol,-13.8,23.66,104,104,1,2010,-13.8,23.66,104
231,Kane 2002,Placebo,-2.9,23.66,106,106,1,2010,-2.9,23.66,106
734,Kane 2007b,Olanzapine,-19.9,19,128,128,1,2010,-19.9,19,128
734,Kane 2007b,Paliperidone,-19.53,21.02,374,375,1,2010,-19.53,21.02,374
734,Kane 2007b,Placebo,-4.1,23.2,126,127,1,2010,-4.1,23.2,126
983,Kane 2009 28 weeks,Aripiprazole,-27.3,25,285,285,1,2010,-27.3,25,285
983,Kane 2009 28 weeks,Olanzapine,-31.5,24.8,281,281,1,2010,-31.5,24.8,281
235,Kane 2010a,Asenapine,-20.4,17.5,214,220,1,2010,-20.4,17.5,214
235,Kane 2010a,Haloperidol,-20,18,112,115,1,2010,-20,18,112
235,Kane 2010a,Placebo,-14.6,17.8,122,123,1,2010,-14.6,17.8,122
1033,Kane 2015,Brexpiprazole,-18.31441667,19.99192895,360,370,1,2010,-18.31441667,19.99192895,360
1033,Kane 2015,Placebo,-13.53,20.39,180,184,1,2010,-13.53,20.39,180
238,Kasper 2003,Aripiprazole,-20.4,21.25457143,853,861,1,2010,-20.4,21.25457143,853
238,Kasper 2003,Haloperidol,-19.7,21.25457143,430,433,1,2010,-19.7,21.25457143,430
740,Keck 1998,Placebo,-4.1,12.2,47,48,1,2010,-4.1,12.2,47
740,Keck 1998,Ziprasidone,-10.1,13.1,41,47,1,2010,-10.1,13.1,41
741,Keefe 2006,Haloperidol,-7.6,16.3,94,97,1,2010,-7.6,16.3,94
741,Keefe 2006,Olanzapine,-12.4,16,153,159,1,2010,-12.4,16,153
741,Keefe 2006,Risperidone,-9.5,15.5,148,158,1,2010,-9.5,15.5,148
3469,Kingstone 1970,Chlorpromazine,9.3,10.5399241,21,21,1,2010,9.3,10.5399241,21
3469,Kingstone 1970,Clopenthixol,8.1,8.94427191,20,20,1,2010,8.1,8.94427191,20
245,Kinon 2011,Olanzapine,-20.68,24.25,62,62,1,2010,-20.68,24.25,62
245,Kinon 2011,Placebo,-14.6,24.3,122,122,1,2010,-14.6,24.3,122
247,Klein 1985,Amisulpride,-22,12.8,9,9,1,2010,-22,12.8,9
247,Klein 1985,Haloperidol,-26,18.1,10,10,1,2010,-26,18.1,10
