studyID,armID,manga,drug_name,Responders,Ntotal,age_mean,age_sd,pub_year,RoB,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,study_year,Published,study_name,ascale,baseline_mean,V,mean_efficacy,Imputation,IMPUTEDresp,Unpublished,Recruitment,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,OverallRoB,Narms,PLAprop,Overall_arm_RoB,PC,PLAprob,PC2,PC3,t,rowID
14,1,0,agom,44,71,41,12,2010,l,,Flexible,Licensed,Yes,Investigational,2008,R can come both from pub and unpub data and match,"
Quera-Salva2010 (CL3-20098-056)",HAMD17,26,6,11,Others,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,agom,a32
14,2,0,esci,36,67,41,11,2010,l,,Flexible,Licensed,No,Comparator,2008,R can come both from pub and unpub data and match,"
Quera-Salva2010 (CL3-20098-056)",HAMD17,26,6,13,Others,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,esci,a33
15,1,0,agom,131,202,43,12,2010,l,,Flexible,Licensed,Yes,Investigational,2010,No pub data and R from unpub data,CL3-20098-062,HAMD17,26,8,-14,Others,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,,Low risk,2,0,Moderate risk,0,0,0,0,agom,a34
15,2,0,dulo,153,216,43,12,2010,l,,Fixed,Licensed,No,Comparator,2010,No pub data and R from unpub data,CL3-20098-062,HAMD17,26,8,-16,Others,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,,Low risk,2,0,Low risk,0,0,0,0,dulo,a35
16,1,0,agom,134,164,44,13,2008,l,1,Flexible,Licensed,Yes,Investigational,2008,R can come both from pub and unpub data and match,Corruble2013 (CL3-20098-063),HAMD17,27,12,-19,LOCF,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,agom,a36
16,2,0,esci,128,160,43,12,2008,l,1,Flexible,Licensed,No,Comparator,2008,R can come both from pub and unpub data and match,Corruble2013 (CL3-20098-063),HAMD17,27,12,-18,LOCF,0,Yes,,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,esci,a37
19,1,0,agom,126,165,41,11,2004,m,1,Fixed,Licensed,Yes,Investigational,2004,R can come both from pub and unpub data and match,Lemoine2007 (CL3-20098-035),HAMD17,26,6,10,LOCF,0,Yes,Europe,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,4,0,High risk,0,0,0,0,agom,a44
19,2,0,venl,115,167,40,10,2004,m,1,Fixed,Licensed,No,Comparator,2004,R can come both from pub and unpub data but do not match,Lemoine2007 (CL3-20098-035),HAMD17,26,6,11,LOCF,0,Yes,Europe,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,4,0,Moderate risk,0,0,0,0,venl,a45
52,2,1,bupr,37,61,41,,1991,m,,Flexible,Licensed,Yes,Investigational,1991,R from pub data and no or inadequate unpub data,Feighner1991,HAMD17,25,6,11,Others,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b15
52,1,1,fluo,35,62,43,,1991,m,,Flexible,Licensed,No,Comparator,1991,R from pub data and no or inadequate unpub data,Feighner1991,HAMD17,26,6,13,Others,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,b14
53,1,0,bupr,33,63,40,,1994,m,,Flexible,Licensed,Yes,Investigational,1994,R from pub data and no or inadequate unpub data,Weisler1994,HAMD21,26,6,13,Others,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b16
53,2,0,traz,21,61,41,,1994,m,,Flexible,Licensed,No,Comparator,1994,R from pub data and no or inadequate unpub data,Weisler1994,HAMD21,25,6,14,Others,0,No,North America,Multi-center,Outpatients only,Yes,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,traz,b17
59,1,0,bupr,3,7,42,10,2003,m,,Flexible,Licensed,No,Unclear,2000,R imputed from pub data and no or inadequate unpub data,Caligiuri2003,HAMD17,18,8,-9,Others,1,No,North America,Single center,Outpatients only,Unclear,9,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,Moderate risk,3,0,Moderate risk,0,0,0,0,bupr,b35
59,2,0,sert,4,9,42,10,2003,m,,Flexible,Licensed,No,Unclear,2000,R imputed from pub data and no or inadequate unpub data,Caligiuri2003,HAMD17,18,8,-9,Others,1,No,North America,Single center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,Moderate risk,3,0,Moderate risk,0,0,0,0,sert,b36
61,1,1,bupr,86,171,37,12,2006,m,,Flexible,Licensed,Yes,Investigational,2005,Inadequate pub data and R from unpub data,Thase2006 (WELL 100368),HAMD17,25,9,-12,LOCF,0,Yes,North America,Multi-center,Outpatients only,Unclear,12,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b39
61,2,1,venl,82,177,37,12,2006,m,,Flexible,Licensed,No,Comparator,2006,Inadequate pub data and R from unpub data,Thase2006 (WELL 100368),HAMD17,24,9,-12,LOCF,0,Yes,North America,Multi-center,Outpatients only,Unclear,12,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,venl,b40
75,1,1,bupr,35,69,38,11,,m,,Fixed,Licensed,Yes,Investigational,2001,No pub data and R from unpub data,WELL AK140016,HAMD17,22,8,10,Others,1,Yes,North America,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,bupr,b79
75,2,1,paro,36,71,37,11,,m,,Fixed,Licensed,No,Comparator,2001,No pub data and R from unpub data,WELL AK140016,HAMD17,22,8,10,Others,1,Yes,North America,Multi-center,Other/Unclear/Not stated,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Unclear risk of bias,Low risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,paro,b80
82,1,0,cita,23,57,,,1986,l,1,Fixed,Licensed,Unclear,Investigational,1986,R imputed from pub data and no or inadequate unpub data,Andersen1986,HAMD17,23,5,12,Others,1,No,Europe,Multi-center,Inpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,cita,c13
82,2,0,clom,31,57,,,1986,l,1,Fixed,Licensed,Unclear,Comparator,1986,R imputed from pub data and no or inadequate unpub data,Andersen1986,HAMD17,22,5,9,Others,1,No,Europe,Multi-center,Inpatients only,Yes,5,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Moderate risk,0,0,0,0,clom,c14
84,2,1,cita,33,108,,,1993,l,,Flexible,Licensed,Yes,Investigational,1993,R from pub data and no or inadequate unpub data,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),HAMD17,25,6,17,Others,0,Yes,Europe,Multi-center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Moderate risk,0,0,0,0,cita,c18
84,1,1,fluv,31,109,,,1993,l,,Flexible,Licensed,No,Comparator,1993,R from pub data and no or inadequate unpub data,Timmerman1993 (Study 89422 - FDA and Haffmans 1996),HAMD17,25,6,18,Others,0,Yes,Europe,Multi-center,Outpatients only,Unclear,6,Yes,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,2,0,Low risk,0,0,0,0,fluv,c17
85,2,1,cita,120,173,44,,1996,l,,Fixed,Licensed,Yes,Investigational,1996,R from pub data and no or inadequate unpub data,Patris1996 (Study 91301 - FDA),MADRS,30,8,9,Others,0,Yes,Europe,Multi-center,Outpatients only,Yes,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Moderate risk,0,0,0,0,cita,c20
85,1,1,fluo,123,184,43,,1996,l,,Fixed,Licensed,No,Comparator,1996,R from pub data and no or inadequate unpub data,Patris1996 (Study 91301 - FDA),MADRS,29,8,10,Others,0,Yes,Europe,Multi-center,Outpatients only,Yes,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Low risk,2,0,Low risk,0,0,0,0,fluo,c19
86,2,1,cita,102,158,43,,1997,m,,Fixed,Licensed,Yes,Investigational,1997,R from pub data and no or inadequate unpub data,Bougerol1997 (Study 91302 - FDA),MADRS,31,8,12,Others,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,cita,c22
86,1,1,fluo,109,158,41,,1997,m,,Fixed,Licensed,No,Comparator,1997,R from pub data and no or inadequate unpub data,Bougerol1997 (Study 91302 - FDA),MADRS,32,8,11,Others,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,c21
93,1,0,cita,9,25,43,11,2011,m,,Flexible,Licensed,No,Investigational,2011,R from pub data and no or inadequate unpub data,Hsu2011,MADRS,37,6,11,LOCF,0,No,Asia,Single center,Other/Unclear/Not stated,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,Moderate risk,2,0,Moderate risk,0,0,0,0,cita,c36
93,2,0,sert,6,26,38,14,2011,m,,Flexible,Licensed,No,Comparator,2011,R from pub data and no or inadequate unpub data,Hsu2011,MADRS,38,6,17,LOCF,0,No,Asia,Single center,Other/Unclear/Not stated,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Unclear risk of bias,,,,Moderate risk,2,0,Moderate risk,0,0,0,0,sert,c37
114,1,0,dulo,85,166,45,13,2008,l,1,Fixed,Licensed,Yes,Investigational,2004,Inadequate pub data and R from unpub data,Perahia2008a (HMBU) (NCT00071695),HAMD17,23,6,-11,LOCF,0,Yes,,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,dulo,du23
114,2,0,venl,91,166,43,13,2008,l,1,Fixed,Licensed,No,Comparator,2004,Inadequate pub data and R from unpub data,Perahia2008a (HMBU) (NCT00071695),HAMD17,23,6,-12,LOCF,0,Yes,,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,venl,du24
116,1,0,dulo,79,164,43,13,2008,m,1,Fixed,Licensed,Yes,Investigational,2004,Inadequate pub data and R from unpub data,Perahia2008b (HMCQ) (NCT00067912),HAMD17,22,6,-11,LOCF,0,Yes,,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,3,0,Moderate risk,0,0,0,0,dulo,du27
116,2,0,venl,170,340,42,12,2008,m,1,Fixed,Licensed,No,Comparator,2004,Inadequate pub data and R from unpub data,Perahia2008b (HMCQ) (NCT00067912),HAMD17,22,6,-11,LOCF,0,Yes,,Multi-center,Outpatients only,Unclear,6,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,3,0,Moderate risk,0,0,0,0,venl,du28
118,1,0,dulo,144,238,39,14,2007,m,,Fixed,Licensed,Yes,Investigational,2005,R from pub data and no or inadequate unpub data,Lee2007 (F1J-AA-HMCV) (NCT00489775),HAMD17,21,8,-14,LOCF,0,Yes,,Multi-center,Both,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,dulo,du33
118,2,0,paro,157,240,38,15,2007,m,,Fixed,Licensed,No,Comparator,2005,R from pub data and no or inadequate unpub data,Lee2007 (F1J-AA-HMCV) (NCT00489775),HAMD17,21,8,-14,LOCF,0,Yes,,Multi-center,Both,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,paro,du34
126,1,0,dulo,86,140,38,13,2014,m,1,Fixed,Licensed,Yes,Investigational,2012,R from pub data and no or inadequate unpub data,Hao2014,HAMD17,24,6,-14,Others/Unclear,0,No,Asia,Multi-center,Both,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,dulo,du57
126,2,0,paro,74,141,39,2,2014,m,1,Fixed,Licensed,No,Comparator,2012,R from pub data and no or inadequate unpub data,Hao2014,HAMD17,24,6,-12,Others/Unclear,0,No,Asia,Multi-center,Both,No,6,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Unclear risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,paro,du58
131,1,1,esci,61,102,37,11,,m,,Flexible,Licensed,Yes,Investigational,2001,No pub data and R from unpub data,Kennedy2005 (SCT-MD-16),HAMDunspecified,26,8,-16,Others,1,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,2,0,High risk,0,0,0,0,esci,e13
131,2,1,fluo,63,103,37,12,,m,,Flexible,Licensed,No,Comparator,2001,No pub data and R from unpub data,Kennedy2005 (SCT-MD-16),HAMDunspecified,27,8,-16,Others,1,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,2,0,Moderate risk,0,0,0,0,fluo,e14
133,1,1,esci,59,101,37,12,2004,l,,Fixed,Licensed,Yes,Investigational,2002,R from pub data and no or inadequate unpub data,Bielski2004 (SCT-MD-12),HAMD24,29,8,-15,LOCF,0,Yes,North America,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,esci,e17
133,2,1,venl,47,101,38,12,2004,l,,Fixed,Licensed,No,Comparator,2002,R from pub data and no or inadequate unpub data,Bielski2004 (SCT-MD-12),HAMD24,27,8,-13,LOCF,0,Yes,North America,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,venl,e18
134,1,1,esci,113,148,49,15,2004,l,,Flexible,Licensed,Yes,Investigational,2002,R can come both from pub and unpub data and match,Montgomery2004a (Study 99067),HAMD17,20,8,-13,LOCF,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,esci,e19
134,2,1,venl,113,145,47,14,2004,l,,Flexible,Licensed,No,Comparator,2002,R can come both from pub and unpub data and match,Montgomery2004a (Study 99067),HAMD17,20,8,-13,LOCF,0,Yes,Europe,Multi-center,Other/Unclear/Not stated,No,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,venl,e20
136,1,1,esci,75,107,41,14,2007,l,,Fixed,Licensed,Yes,Investigational,2003,R from pub data and no or inadequate unpub data,Ventura2007 (SCT-MD-18),HAMD24,27,8,-17,LOCF,0,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,esci,e23
136,2,1,sert,74,108,38,12,2007,l,,Flexible,Licensed,No,Comparator,2003,R from pub data and no or inadequate unpub data,Ventura2007 (SCT-MD-18),HAMD24,27,8,-16,LOCF,0,Yes,North America,Multi-center,Outpatients only,Unclear,8,Unclear,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,sert,e24
137,2,0,cita,64,74,33,9,2004,m,,Flexible,Licensed,Yes,Comparator,2004,R from pub data and no or inadequate unpub data,Lalit2004,HAMD17,25,4,-19,LOCF,0,No,Asia,Multi-center,Outpatients only,No,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Moderate risk,3,0,High risk,0,0,0,0,cita,e26
137,1,0,esci,62,69,33,8,2004,m,,Flexible,Licensed,Yes,Investigational,2004,R from pub data and no or inadequate unpub data,Lalit2004,HAMD17,26,4,-20,LOCF,0,No,Asia,Multi-center,Outpatients only,No,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,,0,0,Moderate risk,3,0,High risk,0,0,0,0,esci,e25
137,3,0,sert,69,71,37,11,2004,m,,Flexible,Licensed,No,Comparator,2004,R from pub data and no or inadequate unpub data,Lalit2004,HAMD17,25,4,-20,LOCF,0,No,Asia,Multi-center,Outpatients only,No,4,Yes,Unclear risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,High risk of bias,Low risk of bias,0,0,0,Moderate risk,3,0,Moderate risk,0,0,0,0,sert,e27
140,2,1,cita,96,182,46,11,2005,l,,Fixed,Licensed,No,Comparator,2005,R from pub data and no or inadequate unpub data,Colonna2005 (Study 99022),MADRS,30,8,14,LOCF,0,Yes,Europe,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Unclear risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,cita,e34
140,1,1,esci,104,175,46,12,2005,l,,Fixed,Licensed,Yes,Investigational,2005,R from pub data and no or inadequate unpub data,Colonna2005 (Study 99022),MADRS,30,8,13,LOCF,0,Yes,Europe,Multi-center,Outpatients only,Yes,8,Unclear,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Unclear risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,esci,e33
141,2,1,cita,87,152,46,11,2005,l,,Fixed,Licensed,No,Comparator,2005,R from pub data and no or inadequate unpub data,Moore2005,MADRS,36,8,-20,LOCF,0,No,Europe,Multi-center,Outpatients only,No,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,cita,e36
141,1,1,esci,105,142,44,11,2005,l,,Fixed,Licensed,Yes,Investigational,2005,R from pub data and no or inadequate unpub data,Moore2005,MADRS,36,8,-22,LOCF,0,No,Europe,Multi-center,Outpatients only,No,8,Unclear,Low risk of bias,Unclear risk of bias,Stated but not tested,Stated but not tested,Stated but not tested,High risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,esci,e35
