Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading
FUM:PBO,1,Major concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
GUSEL:IXE,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
GUSEL:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
GUSEL:SECU,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IFX:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IXE:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IXE:USK,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
MTX:PBO,2,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
NETA:PBO,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
PBO:RISAN,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
PBO:SECU,16,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
PBO:SONELO,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
PBO:TILDRA,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
PBO:USK,11,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
RISAN:SECU,1,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,High,"[""Heterogeneity""]"
RISAN:USK,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
SECU:SONELO,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
SECU:USK,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:APRE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:BRODA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:CERTO,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]"
ADA:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
ADA:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
ADA:ETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:FUM,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
ADA:IFX,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:IXE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
ADA:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:TILDRA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
ADA:USK,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]"
APRE:BIME,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:BRODA,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
APRE:CERTO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
APRE:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
APRE:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
APRE:FUM,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
APRE:GUSEL,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:IFX,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
APRE:IXE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
APRE:NETA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
APRE:RISAN,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:BRODA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:CERTO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
BIME:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BIME:ETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:FUM,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
BIME:GUSEL,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:IFX,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BIME:IXE,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BIME:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
BIME:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:RISAN,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BIME:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BIME:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BRODA:CERTO,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
BRODA:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
BRODA:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BRODA:ETA,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
BRODA:FUM,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
BRODA:GUSEL,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BRODA:IFX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
BRODA:IXE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BRODA:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
BRODA:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BRODA:RISAN,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
BRODA:SECU,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]"
BRODA:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
BRODA:TILDRA,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]"
CERTO:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CERTO:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
CERTO:FUM,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
CERTO:GUSEL,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
CERTO:IFX,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
CERTO:IXE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
CERTO:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CERTO:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
CERTO:RISAN,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
CERTO:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
CERTO:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
CERTO:TILDRA,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]"
CERTO:USK,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
CICLO:DEUCRAVA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:ETA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:FUM,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:GUSEL,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:IFX,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
CICLO:IXE,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:NETA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:PBO,0,Major concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
CICLO:RISAN,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:SECU,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:SONELO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:TILDRA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CICLO:USK,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
DEUCRAVA:ETA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:FUM,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
DEUCRAVA:GUSEL,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:IFX,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:IXE,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
DEUCRAVA:NETA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:RISAN,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:SECU,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:TILDRA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
DEUCRAVA:USK,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
ETA:FUM,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
ETA:GUSEL,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
ETA:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:RISAN,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
FUM:GUSEL,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:IFX,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:IXE,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:NETA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
FUM:RISAN,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:SECU,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:SONELO,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:TILDRA,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:USK,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
GUSEL:IFX,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GUSEL:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
GUSEL:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
GUSEL:RISAN,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
GUSEL:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GUSEL:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
GUSEL:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IFX:IXE,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
IFX:MTX,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
IFX:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IFX:RISAN,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
IFX:SECU,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
IFX:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
IFX:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IFX:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IXE:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
IXE:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IXE:RISAN,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
IXE:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
IXE:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
IXE:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
MTX:NETA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
MTX:RISAN,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
MTX:SECU,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
MTX:SONELO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
MTX:TILDRA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
MTX:USK,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
NETA:RISAN,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
NETA:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
NETA:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
NETA:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
NETA:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
RISAN:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
RISAN:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
SECU:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
SONELO:TILDRA,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]"
SONELO:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
TILDRA:USK,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
