id,treat,total,events,year,rob
267,Standard Care,30,,2021,
267,Thalidomide,30,,2021,
275,Dexamethasone,75,,2021,
275,Tocilizumab,74,,2021,
276,Baricitinib,764,104,2021,Medium
276,Placebo,761,127,2021,Medium
284,Standard Care,180,55,2021,Medium
284,Tocilizumab,174,36,2021,Medium
285,Lenzilumab,261,35,2021,Medium
285,Placebo,259,51,2021,Medium
288,Standard Care,20,,2021,
288,Tocilizumab,20,,2021,
290,Convalescent Plasma,53,,2021,
290,Standard Care,52,,2021,
297,Anakinra,412,25,2021,Low
297,Placebo,194,24,2021,Low
304,Placebo,90,,2021,
304,Sarilumab,367,,2021,
305,Placebo,286,,2021,
305,Sarilumab,1044,,2021,
317,Regn-Cov2,4839,,2021,
317,Standard Care,4946,,2021,
327,Convalescent Plasma,1084,,2021,
327,Standard Care,916,,2021,
328,Imatinib,204,20,2021,Medium
328,Placebo,196,32,2021,Medium
329,Infliximab,35,,2021,
329,Namilumab,57,,2021,
329,Standard Care,54,,2021,
332,Hig,40,10,2021,Medium
332,Standard Care,10,6,2021,Medium
333,Anakinra,378,,2021,
333,Sarilumab,485,,2021,
333,Standard Care,418,,2021,
333,Tocilizumab,972,,2021,
34,Dexamethasone,2104,,2021,
34,Standard Care,4321,,2021,
346,Methylprednisolone,23,,2021,
346,Mp+Tcz,26,,2021,
348,Convalescent Plasma,627,199,2021,Medium
348,Standard Care,313,86,2021,Medium
349,Hydrocortisone,16,,2021,
349,Placebo,14,,2021,
353,Canakinumab,227,19,2021,Low
353,Placebo,227,26,2021,Low
360,Convalescent Plasma,80,30,2021,Medium
360,Standard Care,80,23,2021,Medium
364,Secukinumab,25,,2021,
364,Standard Care,25,,2021,
371,Convalescent Plasma,69,,2021,
371,Standard Care,67,,2021,
377,Dexamethasone,227,32,2021,Medium
377,Tcz+Dex,226,27,2021,Medium
379,Ciclesonide,35,,2021,
379,Standard Care,26,,2021,
383,Adalimumab,34,,2021,
383,Standard Care,34,,2021,
387,Placebo,11,1,2021,Low
387,Tocilizumab,10,0,2021,Low
389,Standard Care,72,12,2021,
389,Tocilizumab,81,18,2021,
390,Standard Care,43,6,2021,Low
390,Tocilizumab,49,6,2021,Low
397,Standard Care,8,2,2021,Low
397,Tocilizumab,20,0,2021,Low
398,Standard Care,13,2,2021,Low
398,Tocilizumab,26,2,2021,Low
399,Standard Care,9,0,2021,Low
399,Tocilizumab,17,1,2021,Low
400,Placebo,17,3,2021,High
400,Tocilizumab,37,11,2021,High
401,Standard Care,27,6,2021,Low
401,Tocilizumab,22,3,2021,Low
402,Placebo,215,58,2021,Medium
402,Tocilizumab,434,110,2021,Medium
403,Standard Care,134,3,2021,Low
403,Tocilizumab,136,1,2021,Low
413,Sarilumab,68,21,2021,Medium
413,Standard Care,80,20,2021,Medium
414,Sarilumab,48,9,2021,Medium
414,Standard Care,33,4,2021,Medium
415,Sarilumab,99,4,2021,Medium
415,Standard Care,102,9,2021,Medium
416,Sarilumab,20,3,2021,Low
416,Standard Care,10,0,2021,Low
425,Levilimab,103,,2021,
425,Placebo,103,,2021,
426,Fostamatinib,30,,2021,
426,Placebo,29,,2021,
432,Baricitinib,51,26,2021,
432,Placebo,50,35,2021,
433,Opaganib,23,,2021,
433,Placebo,19,,2021,
440,Anakinra,43,,2021,
440,Anakinra + Siltuximab,37,,2021,
440,Anakinra + Tocilizumab,32,,2021,
440,Siltuximab,76,,2021,
440,Standard Care,72,,2021,
440,Tocilizumab,82,,2021,
443,Standard Care,25,0,2021,Medium
443,Thalidomide,25,0,2021,Medium
447,Placebo,452,58,2021,Medium
447,Regn-Cov2,912,82,2021,Medium
448,C-Ivig,30,,2021,
448,Standard Care,30,,2021,
45,Convalescent Plasma,43,,2021,
45,Standard Care,43,,2021,
453,Convalescent Plasma,241,25,2021,Low
453,Standard Care,246,25,2021,Low
454,Iv Ig,69,,2021,
454,Placebo,77,,2021,
456,Clazakizumab,8,,2021,
456,Placebo,9,,2021,
462,Ixekizumab,7,,2021,
462,Standard Care,8,,2021,
464,Auxora,143,,2022,
464,Placebo,141,,2022,
467,Crizanlizumab,27,0,2021,Medium
467,Placebo,27,1,2021,Medium
468,Brii-196/Brii-198,179,5,2021,Low
468,Placebo,183,4,2021,Low
468,Sotrovimab,184,2,2021,Low
469,Sarilumab,79,,2021,
469,Standard Care,39,,2021,
473,Anakinra,15,5,2021,Medium
473,Standard Care,15,9,2021,Medium
477,Convalescent Plasma,41,,2021,
477,Standard Care,39,,2021,
478,Mavrilimumab,75,,2021,
478,Placebo,39,,2021,
483,Placebo,145,12,2021,Low
483,Tofacitinib,144,5,2021,Low
486,Convalescent Plasma,18,,2021,
486,Standard Care,15,,2021,
52,Iv Ig,17,1,2020,Medium
52,Standard Care,17,4,2020,Medium
53,Inf Alpha,38,,2020,
53,Inf Alpha+Inf Gamma,41,,2020,
59,Methylprednisolone,209,,2020,
59,Placebo,207,,2020,
61,Ifx-1,15,,2020,
61,Standard Care,15,,2020,
65,Auxora,17,3,2020,Medium
65,Standard Care,9,5,2020,Medium
67,Methylprednisolone,35,13,2020,High
67,Standard Care,29,13,2020,High
71,Hydrocortisone,76,28,2020,Medium
71,Placebo,73,37,2020,Medium
72,Hydrocortisone,143,,2020,
72,Standard Care,108,,2020,
73,Convalescent Plasma,179,13,2021,Medium
73,Standard Care,171,21,2021,Medium
74,Dexamethasone,151,,2020,Medium
74,Standard Care,148,,2020,Medium
76,Inf Beta,40,2,2020,Medium
76,Standard Care,40,6,2020,Medium
78,Placebo,151,50,2021,Low
78,Tocilizumab,301,95,2021,Low
80,Standard Care,32,,2021,
80,Tocilizumab,33,,2021,
81,Convalescent Plasma,235,,2020,
81,Standard Care,229,,2020,
84,Iv Ig,30,,2020,
84,Placebo,29,,2020,
92,Inf Alpha,24,,2020,
92,Lef+Inf Alpha,26,,2020,
97,Inf Alpha,48,1,2021,
97,Rsifn-Co,48,0,2021,
99,Cigb-325,10,,2020,
99,Standard Care,10,,2020,
